campaign,theater,start_year,start_month,end_year,end_month,dbpedia
Appomattox Campaign [March-April 1865],Eastern,1865,3,1865,4,http://dbpedia.org/resource/Category:Battles_of_the_Appomattox_Campaign_of_the_American_Civil_War
Averell's Raid on the Virginia & Tennessee Railroad [November 1863],Eastern,1863,11,1863,11,
Bermuda Hundred Campaign [May 1864],Eastern,1864,5,1864,5,http://dbpedia.org/resource/Category:Battles_of_the_Bermuda_Hundred_Campaign_of_the_American_Civil_War
Blockade of the Carolina Coast [August 1861],Eastern,1861,8,1861,8,
Blockade of the Chesapeake Bay [May-June 1861],Eastern,1861,5,1861,6,http://dbpedia.org/resource/Category:Battles_of_the_Chesapeake_Bay_Blockade_of_the_American_Civil_War
Blockade of the Potomac River [October 1861-January 1862],Eastern,1861,10,1862,1,
Bristoe Campaign [October-November 1863],Eastern,1863,10,1863,11,http://dbpedia.org/resource/Category:Battles_of_the_Bristoe_Campaign_of_the_American_Civil_War
Burnside's North Carolina Expedition [February-June 1862],Eastern,1862,2,1862,6,http://dbpedia.org/resource/Category:Battles_of_Burnside%27s_North_Carolina_Expedition_of_the_American_Civil_War
Cavalry Operations along the Rappahannock [March 1863],Eastern,1863,3,1863,3,
Chancellorsville Campaign [April-May 1863],Eastern,1863,4,1863,5,http://dbpedia.org/resource/Category:Battles_of_the_Chancellorsville_Campaign_of_the_American_Civil_War
Crook-Averell Raid on the Virginia & Tennessee Railroad [May 1864],Eastern,1864,5,1864,5,http://dbpedia.org/resource/Category:Battles_of_the_Crook-Averell_Raid_on_the_Virginia_%26_Tennessee_Railroad_of_the_American_Civil_War
Demonstration on the Rapidan River [February 1864],Eastern,1864,2,1864,2,
Early's Raid and Operations Against the B&O Railroad [June-August 1864],Eastern,1864,6,1864,8,http://dbpedia.org/resource/Category:Battles_of_Early%27s_Raid_on_the_B%26O_Railroad_of_the_American_Civil_War
Expedition Against Fort Fisher [December 1864],Eastern,1864,12,1864,12,http://dbpedia.org/resource/Category:Battles_of_the_Expedition_against_Fort_Fisher_of_the_American_Civil_War
Fredericksburg Campaign [November-December 1862],Eastern,1862,11,1862,12,http://dbpedia.org/resource/Category:Battles_of_the_Fredericksburg_Campaign_of_the_American_Civil_War
Gettysburg Campaign [June-July 1863],Eastern,1863,6,1863,7,http://dbpedia.org/resource/Category:Gettysburg_Campaign_of_the_American_Civil_War
Goldsboro Expedition [December 1862],Eastern,1862,12,1862,12,http://dbpedia.org/resource/Category:Battles_of_the_Goldsboro_Expedition_of_the_American_Civil_War
Grant's Overland Campaign [May-June 1864],Eastern,1864,5,1864,6,http://dbpedia.org/resource/Category:Battles_of_Grant%27s_Overland_Campaign_of_the_American_Civil_War
Jackson's Operations Against the B&O Railroad [January 1862],Eastern,1862,1,1862,1,
Jackson's Valley Campaign [March-June 1862],Eastern,1862,3,1862,6,http://dbpedia.org/resource/Category:Battles_of_Jackson%27s_Valley_Campaign_of_the_American_Civil_War
Kilpatrick-Dahlgren Raid [March 1864],Eastern,1864,3,1864,3,
Longstreet's Tidewater Operations [March-April 1863],Eastern,1863,3,1863,4,http://dbpedia.org/resource/Category:Battles_of_Longstreet%27s_Tidewater_Campaign_of_the_American_Civil_War
Lynchburg Campaign [May-June 1864],Eastern,1864,5,1864,6,http://dbpedia.org/resource/Category:Battles_of_the_Lynchburg_Campaign_of_the_American_Civil_War
Manassas Campaign [July 1861],Eastern,1861,7,1861,7,http://dbpedia.org/resource/Category:Battles_of_the_Manassas_Campaign_of_the_American_Civil_War
Maryland Campaign [September 1862],Eastern,1862,9,1862,9,http://dbpedia.org/resource/Category:Maryland_Campaign_of_the_American_Civil_War
