id,name,dates,cwsac_id,dbpedia_url
aldie,Aldie,"June 17, 1863",VA036,http://dbpedia.org/resource/Battle_of_Aldie
antietam,Antietam,"September 16 - 18, 1862",MD003,http://dbpedia.org/resource/Battle_of_Antietam
appomattox-courthouse,Appomattox Court House,"April 9, 1865",VA097,http://dbpedia.org/resource/Battle_of_Appomattox_Court_House
appomattoxstation,Appomattox Station,"April 8, 1865",VA096,http://dbpedia.org/resource/Battle_of_Appomattox_Station
atlanta,Atlanta,"July 22, 1864",GA017,http://dbpedia.org/resource/Battle_of_Atlanta
averasborough,Averasborough,"March 16, 1865",NC019,http://dbpedia.org/resource/Battle_of_Averasborough
ballsbluff,Ball's Bluff,"October 21, 1861",VA006,http://dbpedia.org/resource/Battle_of_Ball's_Bluff
battery-wagner,Fort Wagner,"July 18 - September 7, 1863",SC007,http://dbpedia.org/resource/Second_Battle_of_Fort_Wagner
beaver-dam-creek,Beaver Dam Creek,"June 26, 1862",VA016,http://dbpedia.org/resource/Battle_of_Beaver_Dam_Creek
bentonville,Bentonville,"March 19 - 21, 1865",NC020,http://dbpedia.org/resource/Battle_of_Bentonville
brandy-station,Brandy Station,"June 9, 1863",VA035,http://dbpedia.org/resource/Battle_of_Brandy_Station
brice-s-cross-roads,Brice's Cross Roads,"June 10, 1864",MS014,http://dbpedia.org/resource/Battle_of_Brice's_Crossroads
bristoe-station,Bristoe Station,"October 14, 1863",VA040,http://dbpedia.org/resource/Battle_of_Bristoe_Station
bullrun,Bull Run,"July 21, 1861",VA005,http://dbpedia.org/resource/First_Battle_of_Bull_Run
campallegheny,Camp Allegheny,"December 13, 1861",WV008,http://dbpedia.org/resource/Battle_of_Camp_Allegheny
carthage,Carthage,"July 5, 1861",MO002,http://dbpedia.org/resource/Battle_of_Carthage_(1861)
cedar-creek,Cedar Creek,"October 19, 1864",VA122,http://dbpedia.org/resource/Battle_of_Cedar_Creek
cedar-mountain,Cedar Mountain,"August 9, 1862",VA022,http://dbpedia.org/resource/Battle_of_Cedar_Mountain
champion-hill,Champion Hill,"May 16, 1863",MS009,http://dbpedia.org/resource/Battle_of_Champion_Hill
chancellorsville,Chancellorsville,"April 30 - May 6, 1863",VA032,http://dbpedia.org/resource/Battle_of_Chancellorsville
chantilly,Chantilly,"September 1, 1862",VA027,http://dbpedia.org/resource/Battle_of_Chantilly
chattanooga,Chattanooga,"November 23 - 25, 1863",TN024,http://dbpedia.org/resource/Chattanooga_Campaign
chickamauga,Chickamauga,"September 18 - 20, 1863",GA004,http://dbpedia.org/resource/Battle_of_Chickamauga
cold-harbor,Cold Harbor,"May 31 - June 12, 1864",VA062,http://dbpedia.org/resource/Battle_of_Cold_Harbor
cool-spring,Cool Spring,"July 18, 1864",VA114,http://dbpedia.org/resource/Battle_of_Cool_Spring
corinth,Corinth,"October 3 - 4, 1862",MS016,http://dbpedia.org/resource/Siege_of_Corinth
cross-keys,Cross Keys,"June 8, 1862",VA105,http://dbpedia.org/resource/Battle_of_Cross_Keys
