id,name,dates,cwsac_id,dbpedia_url
dallas,Dallas,"May 28, 1864",GA011,http://dbpedia.org/resource/Battle_of_Dallas
davis-bridge,Davis Bridge,"October 5, 1862",TN007,http://dbpedia.org/resource/Battle_of_Hatchie's_Bridge
dranesville,Dranesville,"December 20, 1861",VA007,http://dbpedia.org/resource/Battle_of_Dranesville
elkins-ferry,Elkin's Ferry,"April 3 - 4, 1864",AR012,http://dbpedia.org/resource/Battle_of_Elkin's_Ferry
falling-waters,Falling Waters,"July 6 - 16, 1863",MD004,http://dbpedia.org/resource/Battle_of_Williamsport
first-deep-bottom,First Deep Bottom,"July 27 - 29, 1864",VA069,http://dbpedia.org/resource/First_Battle_of_Deep_Bottom
fisher-s-hill,Fisher's Hill,"September 21 - 22, 1864",VA120,http://dbpedia.org/resource/Battle_of_Fisher's_Hill
five-forks,Five Forks,"April 1, 1865",VA088,http://dbpedia.org/resource/Battle_of_Five_Forks
fort-blakely,Fort Blakely,"April 2 - 9, 1865",AL006,http://dbpedia.org/resource/Battle_of_Fort_Blakely
fort-donelson,Fort Donelson,"February 11 - 16, 1862",TN002,http://dbpedia.org/resource/Battle_of_Fort_Donelson
fort-fisher,Fort Fisher,"January 13 - 15, 1865",NC015,http://dbpedia.org/resource/Second_Battle_of_Fort_Fisher
fort-mcallister,Fort McAllister,"December 13, 1864",GA028,http://dbpedia.org/resource/Second_Battle_of_Fort_McAllister
fort-pulaski,Fort Pulaski,"April 10 - 11, 1862",GA001,http://dbpedia.org/resource/Battle_of_Fort_Pulaski
fort-stevens,Fort Stevens,"July 11 - 12, 1864",DC001,http://dbpedia.org/resource/Battle_of_Fort_Stevens
fort-sumter,Fort Sumter,"April 12 - 14, 1861",SC001,http://dbpedia.org/resource/Battle_of_Fort_Sumter
fortstedman,Fort Stedman,"March 25, 1865",VA084,http://dbpedia.org/resource/Battle_of_Fort_Stedman
franklin,Franklin,"November 30, 1864",TN036,http://dbpedia.org/resource/Battle_of_Franklin_(1864)
fredericksburg,Fredericksburg,"December 11 - 15, 1862",VA028,http://dbpedia.org/resource/Battle_of_Fredericksburg
gaines-mill,Gaines' Mill,"June 27, 1862",VA017,http://dbpedia.org/resource/Battle_of_Gaines's_Mill
gettysburg,Gettysburg,"July 1 - 3, 1863",PA002,http://dbpedia.org/resource/Battle_of_Gettysburg
glendale,Glendale,"June 30, 1862",VA020,http://dbpedia.org/resource/Battle_of_Glendale
glorieta-pass,Glorieta Pass,"March 26 - 28, 1862",NM002,http://dbpedia.org/resource/Battle_of_Glorieta_Pass
hampton-roads,Hampton Roads,"March 8 - 9, 1862",VA008,http://dbpedia.org/resource/Battle_of_Hampton_Roads
harpers-ferry,Harpers Ferry,"September 12 - 15, 1862",WV010,http://dbpedia.org/resource/Battle_of_Harpers_Ferry
hatcher-s-run,Hatcher's Run,"February 5 - 7, 1865",VA083,http://dbpedia.org/resource/Battle_of_Hatcher's_Run
high-bridge,High Bridge,"April 6 - 7, 1865",VA095,http://dbpedia.org/resource/Battle_of_High_Bridge
honey-springs,Honey Springs,"July 17, 1863",OK007,http://dbpedia.org/resource/Battle_of_Honey_Springs
iuka,Iuka,"September 19, 1862",MS001,http://dbpedia.org/resource/Battle_of_Iuka
jonesborough,Jonesborough,"August 31 - September 1, 1864",GA022,http://dbpedia.org/resource/Battle_of_Jonesborough
kelly-s-ford,Kelly's Ford,"March 17, 1863",VA029,http://dbpedia.org/resource/Battle_of_Kelly's_Ford
kennesaw-mountain,Kennesaw Mountain,"June 27, 1864",GA015,http://dbpedia.org/resource/Battle_of_Kennesaw_Mountain
kernstown,Kernstown,"March 23, 1862",VA101,http://dbpedia.org/resource/First_Battle_of_Kernstown
malvern-hill,Malvern Hill,"July 1, 1862",VA021,http://dbpedia.org/resource/Battle_of_Malvern_Hill
mansfield,Mansfield,"April 8, 1864",LA018,http://dbpedia.org/resource/Battle_of_Mansfield
mcdowell,McDowell,"May 8, 1862",VA102,http://dbpedia.org/resource/Battle_of_McDowell
middleburg,Middleburg,"June 17 - 19, 1863",VA037,http://dbpedia.org/resource/Battle_of_Middleburg
mill-springs,Mill Springs,"January 19, 1862",KY006,http://dbpedia.org/resource/Battle_of_Mill_Springs
mine-creek,Mine Creek,"October 25, 1864",KS003,http://dbpedia.org/resource/Battle_of_Mine_Creek
mine-run,Mine Run,"November 27 - December 2, 1863",VA044,http://dbpedia.org/resource/Battle_of_Mine_Run
mobile-bay,Mobile Bay,"August 2 - 23, 1864",AL003,http://dbpedia.org/resource/Battle_of_Mobile_Bay
monocacy,Monocacy,"July 9, 1864",MD007,http://dbpedia.org/resource/Battle_of_Monocacy
munfordville,Munfordville,"September 14 - 17, 1862",KY008,http://dbpedia.org/resource/Battle_of_Munfordville
nashville,Nashville,"December 15 - 16, 1864",TN038,http://dbpedia.org/resource/Battle_of_Nashville
natural-bridge,Natural Bridge,"March 6, 1865",FL006,http://dbpedia.org/resource/Battle_of_Natural_Bridge
new-hope-church,New Hope Church,"May 25 - 26, 1864",GA010,http://dbpedia.org/resource/Battle_of_New_Hope_Church
new-market,New Market,"May 15, 1864",VA110,http://dbpedia.org/resource/Battle_of_New_Market
new-market-heights,New Market Heights,"September 29 - 30, 1864",VA075,http://dbpedia.org/resource/Battle_of_Chaffin's_Farm
north-anna,North Anna,"May 23 - 26, 1864",VA055,http://dbpedia.org/resource/Battle_of_North_Anna
olustee,Olustee,"February 20, 1864",FL005,http://dbpedia.org/resource/Battle_of_Olustee
palmito-ranch,Palmito Ranch,"May 12 - 13, 1865",TX005,http://dbpedia.org/resource/Battle_of_Palmito_Ranch
parker-s-cross-roads,Parker's Cross Roads,"December 31, 1862",TN011,http://dbpedia.org/resource/Battle_of_Parker's_Cross_Roads
pea-ridge,Pea Ridge,"March 6 - 8, 1862",AR001,http://dbpedia.org/resource/Battle_of_Pea_Ridge
peachtree-creek,Peach Tree Creek,"July 20, 1864",GA016,http://dbpedia.org/resource/Battle_of_Peachtree_Creek
perryville,Perryville,"October 8, 1862",KY009,http://dbpedia.org/resource/Battle_of_Perryville
petersburg,Petersburg,"June 15 - 18, 1864",VA063,http://dbpedia.org/resource/Second_Battle_of_Petersburg
petersburg-breakthrough,Petersburg Breakthrough,"April 2, 1865",VA089,http://dbpedia.org/resource/Third_Battle_of_Petersburg
picachopeak,Picacho Peak,"April 15, 1862",,http://dbpedia.org/resource/Battle_of_Picacho_Pass
pickettsmill,Pickett's Mill,"May 27, 1864",GA012,http://dbpedia.org/resource/Battle_of_Pickett's_Mill
port-hudson,Port Hudson,"May 21 - July 9, 1863",LA010,http://dbpedia.org/resource/Siege_of_Port_Hudson
port-republic,Port Republic,"June 9, 1862",VA106,http://dbpedia.org/resource/Battle_of_Port_Republic
portgibson,Port Gibson,"May 1, 1863",MS006,http://dbpedia.org/resource/Battle_of_Port_Gibson
prairie-grove,Prairie Grove,"December 7, 1862",AR005,http://dbpedia.org/resource/Battle_of_Prairie_Grove
rappahannock-station,Rappahannock Station,"November 7, 1863",VA043,http://dbpedia.org/resource/Second_Battle_of_Rappahannock_Station
raymond,Raymond,"May 12, 1863",MS007,http://dbpedia.org/resource/Battle_of_Raymond
ream-s-station,Ream's Station,"August 25, 1864",VA073,http://dbpedia.org/resource/Second_Battle_of_Ream's_Station
resaca,Resaca,"May 13 - 15, 1864",GA008,http://dbpedia.org/resource/Battle_of_Resaca
richmond,Richmond,"August 29 - 30, 1862",KY007,http://dbpedia.org/resource/Battle_of_Richmond
ringgold-gap,Ringgold Gap,"November 27, 1863",GA005,http://dbpedia.org/resource/Battle_of_Ringgold_Gap
rocky-face-ridge,Rocky Face Ridge,"May 7 - 13, 1864",GA007,http://dbpedia.org/resource/Battle_of_Rocky_Face_Ridge
sabinepass,Sabine Pass,"September 8, 1863",TX006,http://dbpedia.org/resource/Second_Battle_of_Sabine_Pass
sailor-s-creek,Sailor's Creek,"April 6, 1865",VA093,http://dbpedia.org/resource/Battle_of_Sayler's_Creek
sand-creek,Sand Creek,"November 29 - 30, 1864",CO001,http://dbpedia.org/resource/Sand_Creek_massacre
secessionville,Secessionville,"June 16, 1862",SC002,http://dbpedia.org/resource/Battle_of_James_Island
second-deep-bottom,Second Deep Bottom,"August 13 - 20, 1864",VA071,http://dbpedia.org/resource/Second_Battle_of_Deep_Bottom
second-kernstown,Second Kernstown,"July 24, 1864",VA116,http://dbpedia.org/resource/Second_Battle_of_Kernstown
second-manassas,Second Manassas,"August 28 - 30, 1862",VA026,http://dbpedia.org/resource/Second_Battle_of_Bull_Run
seven-pines,Seven Pines,"May 31 - June 1, 1862",VA014,http://dbpedia.org/resource/Battle_of_Seven_Pines
shepherdstown,Shepherdstown,"September 19 - 20, 1862",WV016,http://dbpedia.org/resource/Battle_of_Shepherdstown
shiloh,Shiloh,"April 6 - 7, 1862",TN003,http://dbpedia.org/resource/Battle_of_Shiloh
south-mountain,South Mountain,"September 14, 1862",MD002,http://dbpedia.org/resource/Battle_of_South_Mountain
spotsylvania-court-house,Spotsylvania Court House,"May 8 - 21, 1864",VA048,http://dbpedia.org/resource/Battle_of_Spotsylvania_Court_House
spring-hill,Spring Hill,"November 29, 1864",TN035,http://dbpedia.org/resource/Battle_of_Spring_Hill
stones-river,Stones River,"December 31 - January 2, 1863",TN010,http://dbpedia.org/resource/Battle_of_Stones_River
the-crater,The Crater,"July 30, 1864",VA070,http://dbpedia.org/resource/Battle_of_the_Crater
the-wilderness,The Wilderness,"May 5 - 7, 1864",VA046,http://dbpedia.org/resource/Battle_of_the_Wilderness
third-winchester,Third Winchester,"September 19, 1864",VA119,http://dbpedia.org/resource/Battle_of_Opequon
thoroughfaregap,Thoroughfare Gap,"August 28, 1862",VA025,http://dbpedia.org/resource/Battle_of_Thoroughfare_Gap
toms-brook,Tom's Brook,"October 9, 1864",VA121,http://dbpedia.org/resource/Battle_of_Tom's_Brook
totopotomoy-creek,Totopotomoy Creek,"May 28 - 30, 1864",VA057,http://dbpedia.org/resource/Battle_of_Totopotomoy_Creek
trevilian-station,Trevilian Station,"June 11 - 12, 1864",VA099,http://dbpedia.org/resource/Battle_of_Trevilian_Station
tupelo,Tupelo,"July 14 - 15, 1864",MS015,http://dbpedia.org/resource/Battle_of_Tupelo
vicksburg,Vicksburg,"May 18 - July 4, 1863",MS011,http://dbpedia.org/resource/Siege_of_Vicksburg
white-oak-road,White Oak Road,"March 31, 1865",VA087,http://dbpedia.org/resource/Battle_of_White_Oak_Road
williamsburg,Williamsburg,"May 5, 1862",VA010,http://dbpedia.org/resource/Battle_of_Williamsburg
wilson-s-creek,Wilson's Creek,"August 10, 1861",MO004,http://dbpedia.org/resource/Battle_of_Wilson's_Creek
wyse-fork,Wyse Fork,"March 7 - 10, 1865",NC017,http://dbpedia.org/resource/Battle_of_Wyse_Fork
yorktown,Yorktown,"April 5 - May 4, 1862",VA009,http://dbpedia.org/resource/Siege_of_Yorktown_(1862)
