"","battle","combatant","fullname","rank","cwsac","cwsac2"
"191","KS001","CS","William C. Quantrill","Lieutenant Colonel",TRUE,TRUE
"192","KS002","CS","William C. Quantrill","Lieutenant Colonel",TRUE,TRUE
"193","KS002","US","James B. Pond","Lieutenant",TRUE,TRUE
"194","KS002","US","James G. Blunt","Major General",TRUE,TRUE
"195","KS003","CS","James F. Fagan","Major General",TRUE,NA
"196","KS003","CS","John S. Marmaduke","Brigadier General",TRUE,NA
"197","KS003","CS","Sterling Price","Major General",NA,TRUE
"198","KS003","US","Alfred Pleasonton","General",TRUE,NA
"199","KS003","US","Alfred Pleasonton","Major General",NA,TRUE
"200","KS004","CS","James F. Fagan","Major General",TRUE,TRUE
"201","KS004","CS","John S. Marmaduke","Brigadier General",NA,TRUE
"202","KS004","CS","John S. Marmaduke","Major General",TRUE,NA
"203","KS004","US","Alfred Pleasonton","Major General",TRUE,TRUE
"204","KY001","CS","Joel A. Battle","Colonel",TRUE,TRUE
"205","KY001","US","Isaac J. Black","Captain",TRUE,TRUE
"206","KY002","CS","Felix Zollicoffer","Brigadier General",TRUE,TRUE
"207","KY002","US","Albin F. Schoepf","Brigadier General",TRUE,TRUE
"208","KY003","CS","John S. Williams","Colonel",TRUE,TRUE
"209","KY003","US","Joshua W. Sill","Colonel",TRUE,TRUE
"210","KY003","US","William Nelson","Brigadier General",TRUE,TRUE
"211","KY004","CS","Thomas C. Hindman","Brigadier General",TRUE,TRUE
"212","KY004","US","August Willich","Colonel",TRUE,TRUE
"213","KY005","CS","Humphrey Marshall","Brigadier General",TRUE,TRUE
"214","KY005","US","James Garfield","Colonel",TRUE,TRUE
"215","KY006","CS","Felix K. Zollicoffer","Brigadier General",NA,TRUE
"216","KY006","CS","George B. Crittenden","Major General",TRUE,TRUE
"217","KY006","US","George H. Thomas","Brigadier General",TRUE,TRUE
"218","KY007","CS","E. Kirby Smith","General",NA,TRUE
"219","KY007","CS","E. Kirby Smith","Major General",TRUE,NA
"220","KY007","US","William Nelson","Major General",TRUE,TRUE
"221","KY008","CS","Braxton Bragg","General",TRUE,TRUE
"222","KY008","CS","James R. Chalmers","Brigadier General",TRUE,TRUE
"223","KY008","US","Cyrus L. Dunham","Colonel",TRUE,TRUE
"224","KY008","US","John T. Wilder","Colonel",TRUE,TRUE
"225","KY009","CS","Braxton Bragg","General",TRUE,TRUE
"226","KY009","US","Don Carlos Buell","Major General",TRUE,TRUE
"227","KY010","CS","Nathan Bedford Forrest","Major General",TRUE,NA
"228","KY010","CS","Nathan B. Forrest","Major General",NA,TRUE
"229","KY010","US","James W. Shirk","Lieutenant Commander",TRUE,TRUE
"230","KY010","US","Stephen G. Hicks","Colonel",TRUE,TRUE
"231","KY011","CS","John Hunt Morgan","Brigadier General",TRUE,TRUE
"232","KY011","US","Stephen Gano Burbridge","Brigadier General",TRUE,NA
"233","KY011","US","Stephen G. Burbridge","Brigadier General",NA,TRUE
"234","LA001","CS","John K. Mitchell","Commander",TRUE,NA
"235","LA001","CS","John K. Mitchell","Flag Officer",NA,TRUE
"236","LA001","CS","Johnson K. Duncan","Brigadier General",TRUE,TRUE
"237","LA001","US","David Dixon Porter","Commodore",NA,TRUE
"238","LA001","US","David G. Farragut","Flag Officer",TRUE,TRUE
"239","LA002","CS","Mansfield Lovell","Major General",TRUE,TRUE
"240","LA002","US","Benjamin F. Butler","Major General",NA,TRUE
"241","LA002","US","Benjamin Franklin Butler","Major General",TRUE,NA
"242","LA002","US","David G. Farragut","Flag Officer",TRUE,TRUE
"243","LA003","CS","Henry K. Stevens","Lieutenant",NA,TRUE
"244","LA003","CS","John C. Breckinridge","Major General",TRUE,TRUE
"245","LA003","US","Thomas Williams","Brigadier General",TRUE,TRUE
"246","LA003","US","William D. Porter","Commander",NA,TRUE
"247","LA004","CS","Phillippe Landry","Captain",TRUE,TRUE
"248","LA004","US","David G. Farragut","Rear Admiral",TRUE,TRUE
"249","LA005","CS","Alfred Mouton","Brigadier General",TRUE,TRUE
"250","LA005","US","Godfrey Weitzel","Brigadier General",TRUE,TRUE
"251","LA006","CS","Richard Taylor","Major General",TRUE,TRUE
"252","LA006","US","Frederick Crocker","Captain",NA,TRUE
"253","LA006","US","Nathaniel P. Banks","Major General",TRUE,TRUE
"254","LA007","CS","Richard Taylor","Major General",TRUE,TRUE
"255","LA007","US","A.P. Cooke","Lieutenant Commander",NA,TRUE
"256","LA007","US","Cuvier Grover","Brigadier General",TRUE,TRUE
"257","LA008","CS","Richard Taylor","Major General",TRUE,NA
"258","LA008","US","Cuvier Grover","Brigadier General",TRUE,NA
"259","LA008","US","Nathaniel P. Banks","Major General",NA,TRUE
"260","LA009","CS","Frank P. Powers","Colonel",TRUE,TRUE
"261","LA009","CS","William R. Miles","Colonel",TRUE,TRUE
"262","LA009","US","Christopher C. Augur","Major General",TRUE,TRUE
"263","LA010","CS","Franklin Gardner","Major General",TRUE,TRUE
"264","LA010","US","David G. Farragut","Rear Admiral",NA,TRUE
"265","LA010","US","Nathanial P. Banks","Major General",NA,TRUE
"266","LA010","US","Nathaniel P. Banks","Major General",TRUE,NA
"267","LA011","CS","Henry E. McCulloch","Brigadier General",TRUE,NA
"268","LA011","CS","John G. Walker","Major General",NA,TRUE
"269","LA011","US","Frank M. Ramsay","Lieutenant Commander",NA,TRUE
"270","LA011","US","Hermann Lieb","Colonel",TRUE,TRUE
"271","LA012","CS","James P. Major","Colonel",TRUE,TRUE
"272","LA012","US","Albert Stickney","Lieutenant Colonel",TRUE,TRUE
"273","LA013","CS","Tom Green","Brigadier General",TRUE,TRUE
"274","LA013","US","Joseph D. Bullen","Major",TRUE,TRUE
"275","LA013","US","Melancthon B. Woolsey","Commander",NA,TRUE
"276","LA014","CS","William H. Parsons","Colonel",TRUE,TRUE
"277","LA014","US","Alfred E. Ellet","Brigadier General",NA,TRUE
"278","LA014","US","Alfred W. Ellet","Brigadier General",TRUE,NA
"279","LA014","US","William F. Wood","Colonel",NA,TRUE
"280","LA015","CS","Tom Green","Brigadier General",TRUE,TRUE
"281","LA015","US","Cuvier Grover","Brigadier General",TRUE,NA
"282","LA015","US","Godfrey Weitzel","Brigadier General",TRUE,TRUE
"283","LA015","US","Joseph Morgan","Colonel",NA,TRUE
"284","LA015","US","Nathan A.M. Dudley","Colonel",NA,TRUE
"285","LA016","CS","Tom Green","Brigadier General",TRUE,TRUE
"286","LA016","US","Joseph B. Leake","Lieutenant Colonel",NA,TRUE
"287","LA016","US","Napoleon J.T. Dana","Major General",TRUE,NA
"288","LA017","CS","William Byrd","Lieutenant Colonel",TRUE,TRUE
"289","LA017","US","A.J. Smith","Brigadier General",TRUE,TRUE
"290","LA017","US","Joseph A. Mower","Brigadier General",TRUE,NA
"291","LA017","US","Joseph Mower","Brigadier General",NA,TRUE
"292","LA017","US","Seth L. Phelps","Lieutenant Commander",NA,TRUE
"293","LA018","CS","Richard Taylor","Major General",TRUE,TRUE
"294","LA018","US","Nathaniel P. Banks","Major General",TRUE,TRUE
"295","LA019","CS","Richard Taylor","Major General",TRUE,TRUE
"296","LA019","US","Nathaniel P. Banks","Major General",TRUE,TRUE
"297","LA020","CS","Tom Green","Brigadier General",TRUE,TRUE
"298","LA020","US","David D. Porter","Rear Admiral",TRUE,NA
"299","LA020","US","Thomas Kilby Smith","Brigadier General",TRUE,TRUE
"300","LA020","US","Thomas O. Selfridge , Jr.","Lieutenant Commander",NA,TRUE
"301","LA021","CS","Hamilton P. Bee","Brigadier General",TRUE,TRUE
"302","LA021","US","Nathaniel P. Banks","Major General",TRUE,TRUE
"303","LA022","CS","Richard Taylor","Major General",TRUE,TRUE
"304","LA022","US","Nathaniel P. Banks","Major General",TRUE,TRUE
"305","LA023","CS","Richard Taylor","Major General",TRUE,TRUE
"306","LA023","US","Joseph A. Mower","Brigadier General",TRUE,TRUE
"307","LA023","US","Nathaniel P. Banks","Major General",NA,TRUE
"308","MD001","CS","Thomas J. Jackson","Major General",TRUE,TRUE
"309","MD001","US","F.W. Lander","Brigadier General",TRUE,TRUE
"310","MD002","CS","Robert E. Lee","General",TRUE,TRUE
"311","MD002","US","George B. McClellan","Major General",TRUE,TRUE
"312","MD003","CS","Robert E. Lee","General",TRUE,TRUE
"313","MD003","US","George B. McClellan","Major General",TRUE,TRUE
"314","MD004","CS","Robert E. Lee","General",TRUE,TRUE
"315","MD004","US","George G. Meade","Major General",TRUE,TRUE
"316","MD006","CS","J.E.B. Stuart","Major General",TRUE,TRUE
"317","MD006","US","Alfred Pleasonton","Major General",TRUE,TRUE
"318","MD007","CS","Jubal A. Early","Lieutenant General",TRUE,TRUE
"319","MD007","US","Lew Wallace","Major General",TRUE,TRUE
"320","MD008","CS","John McCausland","Brigadier General",TRUE,TRUE
"321","MD008","US","Benjamin F. Kelly","Brigadier General",TRUE,TRUE
"322","MN001","I","Little Crow","Chief",TRUE,TRUE
"323","MN001","US","Timothy J. Sheehan","First Lieutenant",TRUE,TRUE
"324","MN002","I","Little Crow","Chief",TRUE,TRUE
"325","MN002","US","Henry Hastings Sibley","Colonel",TRUE,TRUE
"326","MO001","CS","John S. Marmaduke","Colonel",TRUE,TRUE
"327","MO001","US","Nathaniel Lyon","Brigadier General",TRUE,TRUE
"328","MO002","CS","James S. Rains","Brigadier General",NA,TRUE
"329","MO002","US","Franz Sigel","Colonel",TRUE,TRUE
"330","MO003","US","John Scott","Lieutenant Colonel",TRUE,TRUE
"331","MO004","CS","Benjamin McCulloch","Brigadier General",NA,TRUE
"332","MO004","CS","Sterling Price","Major General",NA,TRUE
"333","MO004","US","Nathaniel Lyon","Brigadier General",TRUE,TRUE
"334","MO004","US","Samuel D. Sturgis","Major",NA,TRUE
"335","MO004","US","Samuel D. Sturgis","Major General",TRUE,NA
"336","MO005","CS","James S. Rains","Brigadier General",TRUE,NA
"337","MO005","CS","Sterling Price","Brigadier General",NA,TRUE
"338","MO005","CS","Sterling Price","Major General",TRUE,NA
"339","MO005","US","James M. Lane","Brigadier General",NA,TRUE
"340","MO005","US","J.H. Lane","Colonel",TRUE,NA
"341","MO006","CS","Sterling Price","Major General",TRUE,TRUE
"342","MO006","US","James A. Mulligan","Colonel",TRUE,TRUE
"343","MO007","CS","M. Jeff Thompson","Brigadier General",TRUE,NA
"344","MO007","US","J. B. Plummer","Colonel",NA,TRUE
"345","MO007","US","J.B. Plummer","Colonel",TRUE,NA
"346","MO007","US","William P. Carlin","Colonel",TRUE,NA
"347","MO008","CS","James Frazier","Colonel",TRUE,NA
"348","MO008","CS","Julian Frazier","Colonel",NA,TRUE
"349","MO008","US","Charles Zagonyi","Major",NA,TRUE
"350","MO008","US","James Zagonyi","Major",TRUE,NA
"351","MO009","CS","Frank Cheatham","Brigadier General",NA,TRUE
"352","MO009","CS","Gideon J. Pillow","Brigadier General",TRUE,TRUE
"353","MO009","US","Henry A. Walke","Commander",NA,TRUE
"354","MO009","US","Ulysses S. Grant","Brigadier General",TRUE,TRUE
"355","MO010","CS","Caleb Dorsey","Colonel",TRUE,TRUE
"356","MO010","US","Benjamin M. Prentiss","Brigadier General",TRUE,TRUE
"357","MO011","CS","J.A. Poindexter","Colonel",TRUE,NA
"358","MO011","CS","John A. Poindexter","Colonel",NA,TRUE
"359","MO011","US","W. M. G. Torrence","Major",NA,TRUE
"360","MO011","US","W.M.G. Torrence","Major",TRUE,NA
"361","MO012","CS","George N. Hollins","Flag Officer",NA,TRUE
"362","MO012","CS","John P. McCown","Brigadier General",TRUE,TRUE
"363","MO012","CS","William W. Mackall","Brigadier General",TRUE,TRUE
"364","MO012","US","Andrew H. Foote","Flag Officer",TRUE,TRUE
"365","MO012","US","John Pope","Brigadier General",TRUE,TRUE
"366","MO013","CS","Joseph C. Porter","Colonel",TRUE,NA
"367","MO013","CS","Joseph C. Porter","Lieutenant Colonel",NA,TRUE
"368","MO013","US","Alexander M. Woolfolk","Lieutenant Colonel",NA,TRUE
"369","MO013","US","James McFerran","Colonel",NA,TRUE
"370","MO013","US","John McNeil","Colonel",TRUE,TRUE
"371","MO014","CS","Gideon W. Thompson","Colonel",NA,TRUE
"372","MO014","CS","G.W. Thompson","Colonel",TRUE,NA
"373","MO014","CS","John T. Hughes","Colonel",NA,TRUE
"374","MO014","CS","J.T. Hughes","Colonel",TRUE,NA
"375","MO014","US","James T. Buel","Lieutenant Colonel",TRUE,TRUE
"376","MO015","CS","G.W. Thompson","Colonel",TRUE,NA
"377","MO015","CS","Jeremiah Vard Cockrell","Colonel",TRUE,TRUE
"378","MO015","CS","John T. Coffee","Colonel",NA,TRUE
"379","MO015","CS","Upton Hays","Colonel",TRUE,NA
"380","MO015","US","Emory S. Foster","Major",TRUE,TRUE
"381","MO015","US","Milton H. Brawner","Captain",NA,TRUE
"382","MO016","CS","Douglas H. Cooper","Colonel",TRUE,TRUE
"383","MO016","US","Edward Lynde","Colonel",NA,TRUE
"384","MO016","US","Fredrich Salomon","Brigadier General",NA,TRUE
"385","MO016","US","Friedrich Salomon","Brigadier General",TRUE,NA
"386","MO017","CS","Colton Greene","Colonel",TRUE,NA
"387","MO017","CS","John Q. Burbridge","Colonel",TRUE,TRUE
"388","MO017","US","Hiram E. Barstow","Captain",TRUE,TRUE
"389","MO018","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"390","MO018","US","Benjamin Crabb","Colonel",NA,TRUE
"391","MO018","US","Egbert B. Brown","Brigadier General",TRUE,TRUE
"392","MO019","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"393","MO019","US","Samuel Merrill","Colonel",TRUE,TRUE
"394","MO020","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"395","MO020","US","John McNeil","Brigadier General",TRUE,TRUE
"396","MO021","CS","Sterling Price","Major General",TRUE,TRUE
"397","MO021","US","Thomas Ewing , Jr.","Brigadier General",NA,TRUE
"398","MO021","US","Thomas Ewing Jr.","Brigadier General",TRUE,NA
"399","MO022","CS","John B. Clark","Brigadier General",TRUE,NA
"400","MO022","CS","John B. Clark , Jr.","Brigadier General",NA,TRUE
"401","MO022","CS","Joseph O. Shelby","Brigadier General",NA,TRUE
"402","MO022","CS","Joseph Shelby","Brigadier General",TRUE,NA
"403","MO022","US","Chester Harding","Colonel",TRUE,NA
"404","MO022","US","Chester Hardin , Jr.","Colonel",NA,TRUE
"405","MO023","CS","Sterling Price","Major General",TRUE,TRUE
"406","MO023","US","James G. Blunt","Major General",TRUE,TRUE
"407","MO024","CS","John S. Marmaduke","Major General",NA,TRUE
"408","MO024","CS","Joseph O. Shelby","Brigadier General",NA,TRUE
"409","MO024","CS","Sterling Price","Major General",TRUE,TRUE
"410","MO024","US","James G. Blunt","Major General",NA,TRUE
"411","MO024","US","Samuel R. Curtis","Major General",TRUE,NA
"412","MO024","US","Thomas Moonlight","Colonel",NA,TRUE
"413","MO025","CS","James F. Fagan","Brigadier General",TRUE,NA
"414","MO025","CS","John S. Marmaduke","Brigadier General",TRUE,NA
"415","MO025","CS","William F. Slemons","Colonel",NA,TRUE
"416","MO025","CS","William L. Cabell","Brigadier General",NA,TRUE
"417","MO025","US","Alfred Pleasonton","Major General",TRUE,TRUE
"418","MO026","CS","John S. Marmaduke","Brigadier General",TRUE,NA
"419","MO026","CS","Joseph Shelby","Brigadier General",TRUE,TRUE
