"","battle","combatant","fullname","rank","cwsac","cwsac2"
"1","AL001","CS","Nathan Bedford Forrest","Brigadier General",TRUE,TRUE
"2","AL001","US","Abel Streight","Colonel",TRUE,TRUE
"3","AL002","CS","Moses W. Hannon","Lieutenant Colonel",TRUE,NA
"4","AL002","CS","Nathan Bedford Forrest","Major General",NA,TRUE
"5","AL002","US","Emil Adams","Captain",TRUE,NA
"6","AL002","US","George Spalding","Colonel",NA,TRUE
"7","AL002","US","Jonas Elliott","Lieutenant Colonel",NA,TRUE
"8","AL002","US","Wallace Campbell","Colonel",NA,TRUE
"9","AL002","US","W. H. Lathrop","Colonel",NA,TRUE
"10","AL003","CS","Dabney H. Maury","Major General",NA,TRUE
"11","AL003","CS","Franklin Buchanan","Admiral",TRUE,TRUE
"12","AL003","CS","Richard L. Page","Brigadier General",TRUE,NA
"13","AL003","US","David G. Farragut","Admiral",TRUE,NA
"14","AL003","US","David G. Farragut","Rear Admiral",NA,TRUE
"15","AL003","US","Gordon Granger","Major General",TRUE,TRUE
"16","AL004","CS","John Bell Hood","General",TRUE,TRUE
"17","AL004","US","Robert S. Granger","Brigadier General",TRUE,TRUE
"18","AL005","CS","Randall L. Gibson","Brigadier General",TRUE,TRUE
"19","AL005","US","E.R.S. Canby","Major General",TRUE,TRUE
"20","AL006","US","E.R.S. Canby","Major General",TRUE,TRUE
"21","AL007","CS","Nathan Bedford Forrest","Lieutenant General",TRUE,NA
"22","AL007","CS","Nathan B. Forrest","Lieutenant General",NA,TRUE
"23","AL007","US","James H. Wilson","Major General",NA,TRUE
"24","AL007","US","James Wilson","Major General",TRUE,NA
"25","AR001","CS","Earl Van Dorn","Major General",TRUE,TRUE
"26","AR001","US","Samuel R. Curtis","Brigadier General",NA,TRUE
"27","AR001","US","Samuel R. Curtis","Major General",TRUE,NA
"28","AR002","US","Augustus H. Kilty","Commander",TRUE,TRUE
"29","AR002","US","Graham N. Fitch","Colonel",TRUE,TRUE
"30","AR003","CS","Albert Rust","Brigadier General",NA,TRUE
"31","AR003","CS","Thomas C. Hindman","Major General",TRUE,NA
"32","AR003","CS","William H. Parsons","Colonel",NA,TRUE
"33","AR003","CS","William Parsons","Colonel",TRUE,NA
"34","AR003","US","Charles Hovey","Colonel",TRUE,TRUE
"35","AR003","US","William P. Benton","Brigadier General",TRUE,TRUE
"36","AR004","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"37","AR004","US","James G. Blunt","Brigadier General",TRUE,TRUE
"38","AR005","CS","Thomas C. Hindman","Major General",TRUE,TRUE
"39","AR005","US","Francis J. Herron","Brigadier General",TRUE,TRUE
"40","AR005","US","James G. Blunt","Brigadier General",TRUE,TRUE
"41","AR006","CS","Thomas J. Churchill","Brigadier General",TRUE,TRUE
"42","AR006","US","David D. Porter","Acting Rear Admiral",NA,TRUE
"43","AR006","US","David D. Porter","Rear Admiral",TRUE,NA
"44","AR006","US","John A. McClernand","Major General",TRUE,TRUE
"45","AR007","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"46","AR007","US","William Vandever","Brigadier General",TRUE,TRUE
"47","AR008","CS","Theophilus H. Holmes","Lieutenant General",TRUE,TRUE
"48","AR008","US","Benjamin M. Prentiss","Major General",TRUE,NA
"49","AR008","US","Benjamin Prentiss","Major General",NA,TRUE
"50","AR008","US","James M. Prichett","Lieutenant Commander",NA,TRUE
"51","AR009","CS","William L. Cabell","Brigadier General",NA,TRUE
"52","AR009","CS","W.L. Cabell","Brigadier General",TRUE,NA
"53","AR009","US","William F. Cloud","Colonel",TRUE,TRUE
"54","AR010","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"55","AR010","US","Frederick Steele","Major General",NA,TRUE
"56","AR010","US","John W. Davidson","Brigadier General",TRUE,TRUE
"57","AR011","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"58","AR011","US","Powell Clayton","Colonel",TRUE,TRUE
"59","AR012","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"60","AR012","US","Frederick Steele","Major General",NA,TRUE
"61","AR012","US","Fred Steele","Major General",TRUE,NA
"62","AR013","CS","Sterling Price","Major General",TRUE,TRUE
"63","AR013","US","Frederick Steele","Major General",NA,TRUE
"64","AR013","US","Fred Steele","Major General",TRUE,NA
"65","AR014","CS","John S. Marmaduke","Brigadier General",TRUE,TRUE
"66","AR014","CS","Samuel Bell Maxey","Brigadier General",TRUE,TRUE
"67","AR014","US","James M. Williams","Colonel",TRUE,TRUE
"68","AR015","CS","James B. Fagan","Brigadier General",TRUE,TRUE
"69","AR015","US","Francis Drake","Lieutenant Colonel",TRUE,TRUE
"70","AR016","CS","E. Kirby Smith","General",TRUE,NA
"71","AR016","CS","Sterling Price","Major General",NA,TRUE
"72","AR016","US","Frederick Salomon","Brigadier General",NA,TRUE
"73","AR016","US","Fred Steele","Major General",TRUE,NA
"74","AR017","CS","Colton Greene","Colonel",TRUE,TRUE
"75","AR017","US","Joseph A. Mower","Brigadier General",TRUE,NA
"76","AR017","US","Joseph Mower","Brigadier General",NA,TRUE
"77","AR018","CS","John S. Marmaduke","Brigadier General",NA,TRUE
"78","AR018","US","John W. Davidson","Brigadier General",NA,TRUE
"79","CO001","US","John Chivington","Colonel",TRUE,TRUE
"80","DC001","CS","Jubal A. Early","Lieutenant General",TRUE,TRUE
"81","DC001","US","Alexander McDowell McCook","Major General",TRUE,NA
"82","DC001","US","Alexander M. McCook","Major General",NA,TRUE
"83","DC001","US","Horatio G. Wright","Major General",TRUE,TRUE
"84","FL001","CS","Richard H. Anderson","Brigadier General",NA,TRUE
"85","FL001","US","Harvey Brown","Colonel",TRUE,TRUE
"86","FL002","CS","John W. Pearson","Captain",NA,TRUE
"87","FL002","CS","J.W. Pearson","Captain",TRUE,NA
"88","FL002","US","A.J. Drake","Captain (Naval)",TRUE,NA
"89","FL002","US","A.J. Drake","Lieutenant",NA,TRUE
"90","FL003","CS","Charles F. Hopkins","Lieutenant Colonel",TRUE,TRUE
"91","FL003","US","Charles Steedman","Commander",NA,TRUE
"92","FL003","US","John M. Brannan","Brigadier General",TRUE,TRUE
"93","FL004","CS","John Wescott","Captain",NA,TRUE
"94","FL004","CS","John Westcott","Captain",TRUE,NA
"95","FL004","US","A. A. Semmes","Lieutenant Commander",NA,TRUE
"96","FL004","US","A.A. Semmes","Lieutenant Commander",TRUE,NA
"97","FL004","US","Thomas R. Harris","Acting Master",NA,TRUE
"98","FL005","CS","Alfred H. Colquitt","Brigadier General",NA,TRUE
"99","FL005","CS","Joseph Finegan","Brigadier General",TRUE,TRUE
"100","FL005","US","Truman Seymour","Brigadier General",TRUE,TRUE
"101","FL006","CS","Sam Jones","Major General",TRUE,NA
"102","FL006","CS","William Miller","Brigadier General",NA,TRUE
"103","FL006","US","John Newton","Major General",TRUE,TRUE
"104","GA001","CS","Charles H. Olmstead","Colonel",TRUE,TRUE
"105","GA001","US","David Hunter","Major General",TRUE,TRUE
"106","GA001","US","Quincy A. Gillmore","Captain",TRUE,TRUE
"107","GA002","CS","George A. Anderson","Captain",TRUE,TRUE
"108","GA002","US","P. Drayton","Captain (Naval)",TRUE,NA
"109","GA002","US","Samuel F. Du Pont","Rear Admiral",NA,TRUE
"110","GA003","CS","John C. Breckinridge","Major General",TRUE,NA
"111","GA003","CS","Thomas C. Hindman","Major General",TRUE,TRUE
"112","GA003","US","James Negley","Major General",TRUE,TRUE
"113","GA004","CS","Braxton Bragg","General",TRUE,TRUE
"114","GA004","CS","James Longstreet","Lieutenant General",TRUE,NA
"115","GA004","US","George H. Thomas","Major General",TRUE,TRUE
"116","GA004","US","William S. Rosecrans","Major General",TRUE,TRUE
"117","GA005","CS","Patrick R. Cleburne","Major General",TRUE,TRUE
"118","GA005","US","Joseph Hooker","Major General",TRUE,TRUE
"119","GA006","CS","Joseph E. Johnston","General",TRUE,TRUE
"120","GA006","US","George H. Thomas","Major General",TRUE,TRUE
"121","GA007","CS","Joseph E. Johnston","General",TRUE,TRUE
"122","GA007","US","William T. Sherman","Major General",TRUE,TRUE
"123","GA008","CS","Joseph E. Johnston","General",TRUE,TRUE
"124","GA008","US","William T. Sherman","Major General",TRUE,TRUE
"125","GA009","CS","Benjamin F. Cheatham","Major General",NA,TRUE
"126","GA009","CS","Joseph E. Johnston","General",TRUE,NA
"127","GA009","US","Oliver O. Howard","Major General",NA,TRUE
"128","GA009","US","William T. Sherman","Major General",TRUE,NA
"129","GA010","CS","Joseph E. Johnston","General",TRUE,TRUE
"130","GA010","US","Joseph Hooker","Major General",TRUE,TRUE
"131","GA010","US","William T. Sherman","Major General",TRUE,TRUE
"132","GA011","CS","John A. Logan Lieutenant General William J. Hardee","Major General",NA,TRUE
"133","GA011","CS","Joseph E. Johnston","General",TRUE,NA
"134","GA011","CS","William T. Sherman","Major General",NA,TRUE
"135","GA011","US","William T. Sherman","Major General",TRUE,NA
"136","GA012","CS","John H. Kelly","Brigadier General",NA,TRUE
"137","GA012","CS","Patrick R. Cleburne","Major General",TRUE,TRUE
"138","GA012","US","Oliver O. Howard","Major General",TRUE,TRUE
"139","GA012","US","William T. Sherman","Major General",NA,TRUE
"140","GA013","CS","Joseph E. Johnston","General",TRUE,TRUE
"141","GA013","US","William T. Sherman","Major General",TRUE,TRUE
"142","GA014","CS","John Bell Hood","Lieutenant General",TRUE,NA
"143","GA014","CS","John B. Hood","Lieutenant General",NA,TRUE
"144","GA014","US","John M. Schofield","Major General",TRUE,TRUE
"145","GA014","US","Joseph Hooker","Major General",TRUE,TRUE
"146","GA015","CS","Joseph E. Johnston","General",TRUE,TRUE
"147","GA015","US","William T. Sherman","Major General",TRUE,TRUE
"148","GA016","CS","John Bell Hood","General",TRUE,NA
"149","GA016","CS","John B. Hood","General",NA,TRUE
"150","GA016","US","George H. Thomas","Major General",TRUE,TRUE
"151","GA017","CS","John Bell Hood","General",TRUE,NA
"152","GA017","CS","John B. Hood","General",NA,TRUE
"153","GA017","US","James B. McPherson","Major General",NA,TRUE
"154","GA017","US","John A. Logan","Major General",NA,TRUE
"155","GA017","US","William T. Sherman","Major General",TRUE,TRUE
"156","GA018","CS","Alexander P. Stewart","Lieutenant General",NA,TRUE
"157","GA018","CS","John Bell Hood","General",TRUE,NA
"158","GA018","CS","Stephen D. Lee","Lieutenant General",NA,TRUE
"159","GA018","US","Oliver O. Howard","Major General",TRUE,TRUE
"160","GA019","CS","John Bell Hood","General",TRUE,NA
"161","GA019","CS","Stephen D. Lee","Lieutenant General",NA,TRUE
"162","GA019","CS","William B. Bate","Major General",NA,TRUE
"163","GA019","US","John M. Schofield","Major General",TRUE,TRUE
"164","GA020","CS","Joseph Wheeler","Major General",TRUE,TRUE
"165","GA020","US","Bernard Laiboldt","Colonel",NA,TRUE
"166","GA020","US","James B. Steedman","Major General",TRUE,TRUE
"167","GA021","CS","Daniel Reynolds","Brigadier General",NA,TRUE
"168","GA021","CS","William H. Jackson","Brigadier General",TRUE,TRUE
"169","GA021","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"170","GA021","US","Judson Kilpatrick","Brigadier General",NA,TRUE
"171","GA022","CS","William J. Hardee","Lieutenant General",TRUE,TRUE
"172","GA022","US","William T. Sherman","Major General",TRUE,TRUE
"173","GA023","CS","Samuel G. French","Major General",TRUE,TRUE
"174","GA023","US","John M. Corse","Brigadier General",TRUE,TRUE
"175","GA025","CS","Joseph Wheeler","Major General",TRUE,TRUE
"176","GA025","CS","Pleasant J. Philips","Brigadier General",TRUE,TRUE
"177","GA025","US","Charles C. Walcutt","Brigadier General",TRUE,TRUE
"178","GA026","CS","Joseph Wheeler","Major General",TRUE,TRUE
"179","GA026","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"180","GA026","US","Judson Kilpatrick","Brigadier General",NA,TRUE
"181","GA027","CS","Joseph Wheeler","Major General",TRUE,TRUE
"182","GA027","US","H. Judson Kilpatrick","Brigadier General",TRUE,NA
"183","GA027","US","Judson Kilpatrick","Brigadier General",NA,TRUE
"184","GA028","CS","George A. Anderson","Major",TRUE,TRUE
"185","GA028","US","William B. Hazen","Brigadier General",TRUE,TRUE
"186","ID001","I","Bear Hunter","Chief",TRUE,TRUE
"187","ID001","US","Patrick Edward Connor","Colonel",TRUE,TRUE
"188","IN001","CS","John Hunt Morgan","Brigadier General",TRUE,TRUE
"189","IN001","US","Lewis Jordan","Brevet Colonel",TRUE,NA
"190","IN001","US","Lewis Jordan","Colonel",NA,TRUE
