"belligerent","battle_name","to","relation"
"Union","Blackburn's Ford, Va.","VA004","="
"Union","Boonsborough, Md","MD006","="
"Union","Boydton Road, Va.","VA079","="
"Union","Brice's Cross Roads, Miss.","MS014","="
"Union","Bristoe Station, Va.","VA040","="
"Union","Buzzard's Roost, Ga.","GA006","="
"Union","Camden, N. C. (South Mills)","NC005","="
"Union","Camp Alleghany, W. Va.","WV008","="
"Union","Campbell's Station, Tenn.","TN023","="
"Union","Cane River, La.","LA021","="
"Union","Carnifex Ferry, W. Va.","WV006","="
"Union","Carter's Farm, Va.","VA115","="
"Union","Carthage, Mo.","MO002","="
"Union","Cedar Creek, Va.","VA122","="
"Union","Cedar Mountain, Va.","VA022","="
"Union","Chaffin's Farm, Va.","VA075","="
"Union","Champion's Hill, Miss.","MS009","="
"Union","Chancellorsville, Va.","VA032","="
"Union","Chancellorsville, Va.","VA033","="
"Union","Chancellorsville, Va.","VA034","="
"Union","Chaplin Hills, Ky.","KY009","="
"Union","Chattanooga, Tenn.","TN024","="
"Union","Chickamauga, Ga.","GA004","="
"Union","Chickasaw Bluffs, Miss.","MS003","="
"Union","Cloyd's Mountain, W. Va.","VA049","="
"Union","Cold Harbor, Va.","VA062","="
"Union","Corinth, Miss.","MS002","="
"Union","Crampton's Gap, Md","MS002","="
"Union","Cross Keys, Va.","VA105","="
"Union","Dabney's Mills, Va.","VA083","="
"Union","Darbytown Road, Va.","VA077",">"
"Union","Darbytown Road; Fair Oaks, Va.","VA080","="
"Union","Decatur, Ala.","AL004","="
"Union","Deep Bottom, Va.","VA071","="
"Union","Dinwiddie C. H., Va.","VA086","="
"Union","Dranesville, Va.","VA007","="
"Union","Drewry's Bluff, Va.","VA053","="
"Union","Droop Mountain, W. Va.","WV012","="
"Union","Fair Oaks, Va. (Seven Pines)","VA014","="
"Union","Fall of Petersburg, Va.","VA089","="
"Union","Farmville, Va.","VA094","="
"Union","First Bull Run, Va.","VA005","="
"Union","Fisher's Hill, Va.","VA120","="
"Union","Five Forks, Va.","VA088","="
"Union","Fort Bisland, La.","LA006","="
"Union","Fort Blakely, Ala.","AL006","="
"Union","Fort Davidson, Mo.","MO021","="
"Union","Fort Donelson, Tenn.","TN002",">"
"Union","Fort Fisher, N. C.","NC015","="
"Union","Fort McAllister, Ga.","GA028","="
"Union","Fort Stedman, Va.","VA084","="
"Union","Fort Stevens, D. C","DC001","="
"Union","Franklin, Tenn.","TN036","="
"Union","Fredericksburg, Va.","VA028","="
"Union","Front Royal and Winchester, Va.","VA103","="
"Union","Front Royal and Winchester, Va.","VA104","="
"Union","Gaines's Mill, Va.","VA017","="
"Union","Georgia Landing, La.","LA005","="
"Union","Gettysburg, Pa","PA002","="
"Union","Glendale, Va.","VA020","="
"Union","Golding's Farm, Va.","VA018","="
"Union","Gravelly Run, Va.","VA085","="
"Union","Greenbrier River, W. Va.","WV007","="
"Union","Griswoldville, Ga.","GA025","="
"Union","Hanover Court House, Va.","VA013","="
"Union","Hanover, Pa","PA001","="
"Union","Harper's Ferry, Va.","WV010","="
"Union","Hartsville, Mo.","MO019","="
"Union","Hartsville, Tenn.","TN008","="
"Union","Hatchie Bridge, Miss.","TN007","="
"Union","Helena, Ark.","AR008","="
"Union","Honey Hill, S. C.","SC010","="
"Union","Hoover's Gap, Tenn.","TN017","="
"Union","Independence, Mo.","MO025","="
"Union","Irish Bend, La.","LA007","="
"Union","Iuka, Miss.","MS001","="
"Union","Jackson, Miss.","MS008","="
"Union","James's Island, S. C.","NC016","="
"Union","Jenkins's Ferry, Ark.","AR016","="
"Union","Jerusalem Road, Va.","VA065","="
"Union","Kelly's Ford, Va.","VA029",">"
"Union","Kernstown, Va.","VA101","="
"Union","Kinston; Goldsborough, N. C.","NC007","="
"Union","La Fourche Crossing, La.","LA012","="
"Union","Little Blue, Mo.","MO024","="
"Union","Lynchburg, Va.","VA064","="
"Union","Magnolia Hills, Miss.","MS006","="
"Union","Malvern Hill, Va.","VA021","="
"Union","Manassas, Va.","VA023","="
"Union","Manassas, Va.","VA024","="
"Union","Manassas, Va.","VA025","="
"Union","Manassas, Va.","VA026","="
"Union","Manassas, Va.","VA027","="
"Union","Marion, Va.","VA081","="
"Union","Marks's Mills, Ark.","AR015","="
"Union","McDowell, Va.","VA102","="
"Union","Mechanicsville, Va.","VA016","="
"Union","Middleburg, Va.","VA037","="
"Union","Mill Springs, Ky.","KY006","="
"Union","Milliken's Bend, La.","LA011","="
"Union","Mine Run Campaign, Va.","VA044","="
"Union","Monocacy, Md","MD007","="
"Union","Monroe's Cross Roads, N. C.","NC018","="
"Union","Morgan's Raid, Ky.","IN001","="
