battle_id,event_type,state,year,battle_name,start_date,end_date,text,casualties,killed,wounded,killed_wounded,missing_captured
,,CO,1865,"Skirmish, Julesburg",Jan. 7,Jan 7,"IOWA--7th Cavalry (1 Co.). Union loss, 14 killed, 2 wounded. Total, 16.",,,,,
,,CO,1865,"Skirmish, Godfrey's Ranch",Jan. 14,Jan 14,COLORADO--2d Cavalry (Detachment).,,,,,
,,CO,1865,"Skirmish, Valley Station",Jan. 14,Jan 14,"COLORADO--1st Cavalry (Co. ""C"").",,,,,
,,CO,1865,"Skirmish, Morrison's, or American Ranch",Jan. 14,Jan 14,"COLORADO--1st Cavalry (Co. ""C"").",,,,,
,,CO,1865,Operations on Overland Stage Route between Denver and Julesburg,Jan. 14,Jan 25,COLORADO--1st and 2d (Detachment)Cavalry. NEBRASKA--1st Cavalry. OHIO--11th Cavalry.,,,,,
,,CO,1865,"Skirmish, Wisconsin Ranch",Jan. 15,Jan 15,"COLORADO---1st Cavalry (Co. ""C"").",,,,,
,,CO,1865,"Skirmish, Gittrell's Ranch",Jan. 15,Jan 15,Ranchmen.,,,,,
,,CO,1865,"Skirmish, Moore's Ranch",Jan. 25,Jan 25,Ranchmen.,,,,,
,,CO,1865,"Skirmish, Lillian Springs Ranch",Jan. 26,Jan 26,Ranchmen.,,,,,
,,CO,1865,Skirmish near Valley Station,Jan. 28,Jan 28,Ranchmen.,,,,,
,,CO,1865,"Affair, Julesburg",Feb. 2,Feb 2,IOWA--7th Cavalry (1 Co.). Attack on Overland Stage Station.,,,,,
,,CO,1865,Operations on North Platte River,Feb. 2,Feb 18,NEBRASKA--1st Cavalry. OHIO--11th Cavalry.,,,,,
,,CO,1865,"Affair, Fort Garland",April 1,April 1,Indian attack.,,,,,
,,CO,1865,"Skirmish, Dan Smith's Ranch, near Julesburg ",May 13,May 13,Indian attack.,,,,,
,,CO,1865,Operations near Fort Collins,June 4,June 10,COLORADO--1st Cavalry.,,,,,
,,CO,1865,"Skirmish, Sage Creek",June 8,June 8,OHIO--11th Cavalry (Detachment).,,,,,
,,DA,1862,"Action, Fort Abercrombie",June 23,June 23,"MINNESOTA--5th Infantry (Co. ""D"").",,,,,
,,DA,1862,"Skirmish, Fort Abercrombie",Sept. 3,Sept 3,(No Reports.),,,,,
,,DA,1862,"Action, Fort Abercrombie",Sept. 6,Sept 6,"MINNESOTA--5th Infantry. Union loss, 1 killed. 2 wounded. Total, 3.",,,,,
,,DA,1862,"Action, Fort Abercrombie",Sept. 26,Sept 26,MINNESOTA--9th Infantry.,,,,,
,,DA,1863,"Skirmish, Fort Halleck",Feb. 20,Feb 20,KANSAS---9th Cavalry. Union loss. 1 killed.,,,,,
,,DA,1863,Operations against Sioux Indians,June 16,Sept 3,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th, 7th, 9th (Detachment) and 10th Infantry. <dy_985>",,,,,
,,DA,1863,"Action, Big Mound",July 24,July 24,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th, 7th, 9th (Detachment) and 10th Infantry. Union loss, 4 killed, 4 wounded. Total, 8.",,,,,
,,DA,1863,"Engagement, Dead Buffalo Lake",July 26,July 26,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th. 7th, 9th (Detachment) and 10th Infantry. Union loss, 1 killed.",,,,,
,,DA,1863,"Action, Stony Lake",July 28,July 28,"MINNESOTA--1st Cavalry; Mounted Rangers; 3d Battery Light Arty.; 6th, 7th, 9th (Detachment) and 10th Infantry. Union loss, 1 killed, 2 wounded. Total, 3.",,,,,
,,DA,1863,"Actions, Missouri River",July 29,July 30,MINNESOTA--1st Cavalry, Mounted Rangers, 3d Battery Light Arty., 6th Infantry.,,
,,DA,1863,Expedition against Sioux Indians in Dakota (Sully's),Aug. 13,Sept 11,IOWA--6th and 7th (Detachment) Cavalry. NEBRASKA-2d Cavalry.,,,,,
,,DA,1863,"Engagement, Whitestone Hill",Sept. 3,and 5,"IOWA--6th and 7th (Detachment) Cavalry. NEBRASKA-2d Cavalry. Union loss, 20 killed, 38 wounded. Total, 58.",,,,,
,,DA,1863,Affair with Ponca Indians,Dec. 1,Dec 1,IOWA--7th Cavalry (Detachment).,,,,,
,,DA,1864,Expedition up James River,July 25,Aug 1,"MINNESOTA--3d Battery Light Arty. (Detachment). WISCONSIN--2d Cavalry (Co. ""M""); 30th Infantry (Detachment).",,,,,
,,DA,1864,Expedition against Sioux Indians (Sully's),July 25,Oct 8,"DAKOTA--1st Battalion Cavalry. IOWA--6th and 7th Cavalry. MINNESOTA--2d Cavalry; Indpt. Battalion Cavalry; Brackett's Battalion Cavalry; 3d Battery Light Arty.; 8th Infantry (Mounted), Pope's Prairie Battery; Indpt. Company Indian Scouts.",,,,,
,,DA,1864,"Action, Tah kah a kuty",July 23,July 23,"DAKOTA--1st Battalion Cavalry; Pope's Prairie Battery. IOWA--6th and 7th Cavalry. MINNESOTA--2d Cavalry; Brackett's Battalion Cavalry; 3d Battery Light Arty.; 8th Infantry (Mounted). Union loss, 5 killed, 10 wounded. Total, 15.",,,,,
,,DA,1864,"Action, Two Hills, Bad Lands, Little Missouri River",Aug. 8,Aug 8,DAKOTA--1st Battalion Cavalry, Pope's Prairie Battery. IOWA--6th and 7th Cavalry. MINNESOTA--2d Cavalry, Brackett's Battalion Cavalry, 3d Battery Light Arty., 8th Infantry (Mounted).,
,,DA,1864,"Skirmish, Little Blue.",Aug. 12,Aug 12,"IOWA--7th Cavalry. Union loss, 2 killed.",,,,,
,,DA,1864,Expedition from Fort Rice to relief of Fiske's Emigrant Train,Sept. 11,Sept 30,IOWA--6th Cavalry. MINNESOTA--2d Cavalry, Brackett's Battalion Cavalry.,,,,
,,DA,1864,Skirmish. Fort Rice,Sept. 27,Sept 27,IOWA--6th Cavalry. KANSAS--11th Cavalry (Detachment).,,,,,
,,DA,1865,Scout from Deer Creek to Sage Creek.,April 22,April 23,,,,,,
,,DA,1865,"Affair, Fort Rice",April 26,April 26,UNITED STATES--1st Infantry Vols. (Detachment).,,,,,
,,DA,1865,Scout from Sweetwater Bridge to Whiskey Gap,May 19,May 20,KANSAS--11th Cavalry (Detachment).,,,,,
,,DA,1865,"Skirmish, Deer Creek Station",May 20,May 20,KANSAS--11th Cavalry (Detachment).,,,,,
,,DA,1865,Expedition from Camp Plumb,May 20,May 22,KANSAS--11th Cavalry (Detachment).,,,,,
,,DA,1865,"Operations, Three Crossings Station",May 20,May 22,KANSAS--11th Cavalry (Detachment).,,,,,
,,DA,1865,Operations on Platte and Sweetwater Rivers ,May 26,June 9,OHIO--11th Cavalry (Detachment).,,,,,
,,DA,1865,Skirmish. St. Mary's Station,May 27,May 27,OHIO--11th Cavalry (Detachment).,,,,,
,,DA,1865,"Operations, Fort Rice",June 2,June 2,UNITED STATES--1st Infantry Vols.,,,,,
,,DA,1865,"Skirmish, Platte River Bridge, Dry Creek",June 3,June 3,KANSAS--11th Cavalry (Detachment).,,,,,
,,DA,1865,"Action, Horse Creek",June 14,June 14,"IOWA--7th Cavalry (Cos. ""A,"" ""B"" and ""D"").",,,,,
,,DA,1865,"Skirmish, Dead Man's Fork",June 17,June 17,"CALIFORNIA--2d Cavalry (Cos. ""L"" and ""M""). KANSAS--11th (Co. ""L"") and 16th (Detachment) Cavalry. OHIO--11th Cavalry (Detachment).",,,,,
,,DA,1865,Expedition to Fort Halleck,June 17,June 19,COLORADO--1st Cavalry (Detachment).,,,,,
,,DA,1865,Expedition to Powder River,June 20,Oct 7,KANSAS--16th Cavalry. MISSOURI--12th Cavalry, 2d Heavy Arty.,,,,
,,DA,1865,"Operations about Rock Creek Station, Seven Mile Creek",June 24,June 30,COLORADO--1st Cavalry (Detachment). KANSAS---11th Cavalry. OHIO--11th Cavalry.,,,,,
,,DA,1865,Skirmish. Rock Creek,June 30,June 30,KANSAS--11th Cavalry.,,,,,
,,DA,1865,"Action, Platte Bridge",July 26,July 26,KANSAS--11th Cavalry. OHIO--11th Cavalry.,,,,,
,,DA,1865,Skirmish. Powder River,Aug. 13,Aug 13,Pawnee Scouts.,,,,,
,,DA,1865,"Skirmish, Powder River",Aug. 16,Aug 16,Pawnee Scouts.,,,,,
,,DA,1865,"Skirmishes, Powder River",Sept. 1-8,Sept 8,KANSAS--16th Cavalry. MISSOURI--12th Cavalry, 2d Heavy Arty. IDAHO TERRITORY.,,,,
,,DA,1862,Expedition against Snake Indians,Aug. 19,Oct 11,OREGON--1st Cavalry.,,,,,
,,DA,1863,Expedition against Snake Indians,May 4,Oct 20,"OREGON--1st Cavalry. WASHINGTON--1st Infantry (Cos. ""H"" and ""I"").",,,,,
,,DA,1863,"Skirmish, Grand Pass (Fort Halleck).",July 7,July 7,"COLORADO--2d Cavalry (Detachment). KANSAS---9th Cavalry (Detachment). Union loss, 1 killed, 6 wounded. Total, 7.",,,,,
,,DA,1863,Expedition from Fort Lapwai to the Meadows ,Aug. 22,Sept 20,"OREGON--1st Cavalry (Co. ""F"").",,,,,
,,DA,1864,Expedition from Fort Boles to Booneville,July 20,Aug 17,OREGON--1st Cavalry.,,,,,
,,DA,1864,Expedition from Fort Boles to Salmon Falls,Aug. 27,Oct 5,OREGON--1st Cavalry (Detachment). WASHINGTON--1st Infantry (Detachment).,,,,,
,,DA,1865,Operations about Fort Boles,Feb. 1,Feb 20,WASHINGTON--1st Infantry.,,,,,
,,DA,1865,"Skirmish, Bruneaux Valley",Feb. 15,Feb 15,WASHINGTON--1st Infantry (Detachment).,,,,,
,,DA,1865,"Skirmish, Poison Springs",March 8,March 8,(No Reports.),,,,,
