"","battle_id","event_type","state","year","battle_name","start_date","end_date","text","casualties","killed","wounded","killed_wounded","missing_captured"
"235",NA,"Skirmish","NM",1861,"Jan. 2: Skirmish, Cimarron River",1861-01-02,1861-01-02,"Col. Crittenden and U.S. Riflemen.","","","","",NA
"236",NA,"Abandonment","NM",1861,"July 16: Abandonment of Fort McLane",1861-07-16,1861-07-16,"U.S. Forces.","","","","",NA
"237",NA,"Abandonment","NM",1861,"July 16: Abandonment of Fort Breckenridge",1861-07-16,1861-07-16,"U.S. Forces.","","","","",NA
"238",NA,"Abandonment","NM",1861,"July 16: Abandonment of Fort Buchanan",1861-07-16,1861-07-16,"U.S. Forces.","","","","",NA
"239",NA,"Skirmish","NM",1861,"July 16: Skirmish, Mesilla",1861-07-16,1861-07-16,"UNITED STATES---Mounted Rifles (2 Cos.); 7th Infantry. Union loss, 3 killed, 6 wounded. Total, 9.","","","","",NA
"240",NA,"Abandonment","NM",1861,"July 16: Abandonment of Fort Fillmore.",1861-07-16,1861-07-16,"U.S. Forces.","","","","",NA
"241",NA,"Surrender","NM",1861,"July 27.: Surrender of San Augustine Springs",1861-07-27,1861-07-27,"UNITED STATES---Mounted Rifles (2 Cos.)"," 7th Infantry.","","","",NA
"242",NA,"Surrender","NM",1861,"Aug. 2: Surrender, Fort Stanton",1861-08-02,1861-08-02,"U. S. Forces.","","","","",NA
"243",NA,"Skirmish","NM",1861,"Aug. 23: Skirmish, Fort Craig",1861-08-23,1861-08-23,"NEW MEXICO--Hubbell's Cavalry Company.","","","","",NA
"244",NA,"Operations","NM",1861,"Aug. 25: Operations about Fort Stanton",1861-08-25,1861-08-25,"Confederate forces with Indians.","","","","",NA
"245",NA,"Skirmish","NM",1861,"Sept. 25: Skirmish, Canada Alamosa",1861-09-25,1861-09-25,"NEW MEXICO--Mink's Cavalry Company.","","","","",NA
"246",NA,"Skirmish","NM",1861,"Sept. 26: Skirmish, Fort Craig",1861-09-26,1861-09-26,"NEW MEXICO--Hubbell's Cavalry Company.","","","","",NA
"247",NA,"Skirmish","NM",1861,"Sept. 26: Skirmish near Fort Thorne",1861-09-26,1861-09-26,"UNITED STATES---3d Cavalry Companies ""C,"" ""G,"" ""K.""","","","","",NA
"248",NA,"Operations","NM",1861,"Sept. 30: Operations about Camp Robledo",1861-09-30,1861-09-30,"Confederate Forces against Indians.","","","","",NA
"249",NA,"Skirmish","NM",1861,"Oct. 4: Skirmish, Alamosa, near Fort Craig",1861-10-04,1861-10-04,"NEW MEXICO--Mink's Cavalry Company. UNITED STATES--Regulars.","","","","",NA
"250",NA,"Skirmish","NM",1862,"Feb. 20: Skirmish, Fort Craig",1862-02-20,1862-02-20,"COLORADO--2d Infantry.","","","","",NA
"251",NA,"Engagement","NM",1862,"Feb. 21: Engagement, Valverde",1862-02-21,1862-02-21,"COLORADO--Dodd's Company Volunteers. NEW MEXICO--Graydon's Company Volunteers. UNITED STATES --1st (Cos. ""D."" :'G""); 2d (Co. ""G"") and 3d (Cos. ""C,"" ""D,"" ""G,"" ""I,"" ""K"") Cavalry; Hall's and McRea's Batteries Arty.; 5th (Cos. ""B,"" ""D,"" ""F,"" ""I,"" ""K,""); 7th (Cos. ""C,' ""F,"" ""H"") and 10th (Cos. ""A,"" ""F,"" ""H"") Infantry. Union loss, 68 killed, 160 wounded. Total, 228.","","","","",NA
"252",NA,"Evacuation","NM",1862,"March 16: Evacuation of Albuquerque and Santa Fe",1862-03-16,1862-03-16,"COLORADO--Ford's Company Volunteers.    UNITED STATES--2d Cavalry (1 Co.); 3d Cavalry (Co. ""E""); 5th Infantry (1 Co.).","","","","",NA
"253",NA,"Capture","NM",1862,"March 16: Capture of Cubero",1862-03-16,1862-03-16,"(No Reports.)","","","","",NA
"254",NA,"Skirmish","NM",1862,"March 16: Skirmish, Apache Canon, near Santa Fe",1862-03-16,1862-03-16,"COLORADO--1st Cavalry (Co. ""C""); 1st Infantry (Cos. ""A."" ""D,"" ""E""). UNITED STATES--1st (Cos. ""B,"" ""G"") and 3d (Cos. ""C,"" ""D,"" ""E,"" ""K"") Cavalry. Union losses included in Glorietta, March 28.","","","","",NA
"255",NA,"Engagement","NM",1862,"March 16: Engagement, Glorietta, or Pigeon Ranch",1862-03-16,1862-03-16,"COLORADO--1st Infantry (Battalion). NEW MEXICO--4th and 5th Infantry (Detachment). UNITED STATES --1st and 3d Cavalry (Detachments); Ritter's and Clafflin's Batteries Arty. Union loss, 32 killed. 75 wounded, 35 missing. Total, 142 (Includes Apache Canon, March 26.)","","","","",NA
"256",NA,"Skirmish","NM",1862,"March 16: Skirmish, Comanche Canyon or Pass",1862-03-16,1862-03-16,"Confederate Forces with Indians.","","","","",NA
"257",NA,"Skirmish","NM",1862,"April 16: Skirmish, Albuquerque",1862-04-16,1862-04-16,"COLORADO---2d Infantry. NEW MEXICO--Graydon's Spy Company. UNITED STATES---3d Cavalry.","","","","",NA
"258",NA,"Pursuit","NM",1862,"April 16: Pursuit of Confederates",1862-04-16,1862-04-16,"UNITED STATES--3d Cavalry.","","","","",NA
"259",NA,"Action","NM",1862,"April 16: Action, Peralta",1862-04-16,1862-04-16,"COLORADO--1st and 2d Cavalry. NEW MEXICO--2d Infantry. UNITED STATES---5th Infantry.","","","","",NA
"260",NA,"Affair","NM",1862,"April 16: Affair, Socorro",1862-04-16,1862-04-16,"NEW MEXICO--2d Infantry (Detachment).","","","","",NA
"261",NA,"Affair","NM",1862,"May 16: Affair, Peraje",1862-05-16,1862-05-16,"UNITED STATES--3d Cavalry.","","","","",NA
"262",NA,"Skirmish","NM",1862,"May 16: Skirmish near Fort Craig",1862-05-16,1862-05-16,"UNITED STATES--3d Cavalry. Union loss. 3 wounded.","","","","",NA
"263",NA,"Skirmish","NM",1862,"July 16: Skirmish, Apache Canon",1862-07-16,1862-07-16,"COLORADO--2d Cavalry.","","","","",NA
"264",NA,"Expedition","NM",1862,"Oct. 29: Expedition from Fort Union to Canadian River and Utah Creek ",1862-10-29,1862-10-29,"COLORADO--2d Infantry (Co. ""C"").","","","","",NA
"265",NA,"Skirmish","NM",1863,"Jan. 29: Skirmish, Pinos Altos Mines",1863-01-29,1863-01-29,"CALIFORNIA--1st (1 Co.) and 5th Infantry.","","","","",NA
"266",NA,"Skirmish","NM",1863,"March 16: Skirmish, Bonito Rio",1863-03-16,1863-03-16,"CALIFORNIA--1st Cavalry (Cos. ""A,"" ""B."" ""L"").","","","","",NA
"267",NA,"Skirmish","NM",1863,"April 16: Skirmish, Apache Pass",1863-04-16,1863-04-16,"CALIFORNIA--5th Infantry (Detachment). Union loss, 1 wounded.","","","","",NA
"268",NA,"Skirmish","NM",1863,"May 16: Skirmish, Cajou de Arivaypa",1863-05-16,1863-05-16,"CALIFORNIA--5th Infantry (Detachment).","","","","",NA
"269",NA,"Skirmish","NM",1863,"June 16: Skirmish, Jornado del Muerta",1863-06-16,1863-06-16,"NEW MEXICO--1st Cavalry (1 Co.). Union loss, 2 wounded.","","","","",NA
"270",NA,"Skirmish","NM",1863,"June 16: Skirmish, Warm Springs, Fort McRae.",1863-06-16,1863-06-16,"NEW MEXICO--1st Cavalry (Detachment). Union loss, 2 killed. 6 wounded. Total, 8.","","","","",NA
"271",NA,"Skirmish","NM",1863,"July 16: Skirmish near Fort Craig",1863-07-16,1863-07-16,"(No Reports.)","","","","",NA
"272",NA,"Operations","NM",1863,"July 16: Operations against Navajo Indians",1863-07-16,1863-07-16,"NEW MEXICO--1st Cavalry.","","","","",NA
"273",NA,"Skirmish","NM",1863,"July 16: Skirmish, Cook's Canon",1863-07-16,1863-07-16,"With Indians.","","","","",NA
"274",NA,"Skirmish","NM",1863,"July 16: Skirmish, Rio Hondo",1863-07-16,1863-07-16,"NEW MEXICO--1st Cavalry (1 Co.). Union loss, 1 killed. 4 wounded. Total, 5.","","","","",NA
"275",NA,"Skirmish","NM",1863,"July 16: Skirmish, Rio de las Animos",1863-07-16,1863-07-16,"CALIFORNIA--1st Infantry.","","","","",NA
"276",NA,"Skirmish","NM",1863,"July 16: Skirmish, Cook's Canon",1863-07-16,1863-07-16,"(No Reports).","","","","",NA
"277",NA,"Skirmish","NM",1863,"July 16: Skirmish, Concha's Springs",1863-07-16,1863-07-16,"NEW MEXICO--1st Cavalry (1 Co.). Union loss, 2 killed, 3 wounded. Total, 5.","","","","",NA
"278",NA,"Skirmish.","NM",1863,"Aug. 18: Skirmish. Pueblo, Colorado",1863-08-18,1863-08-18,"NEW MEXICO--(3 Cos.): 1st Cavalry. Union loss, 2 killed. 2 wounded. Total, 5.","","","","",NA
"279",NA,"Operations","NM",1863,"Aug. 20: Operations against Navajo Indians",1863-08-20,1863-08-20,"CALIFORNIA--1st Cavalry"," 1st Infantry.","","","",NA
"280",NA,"Scout","NM",1863,"Sept. 15: Scout from Fort Wingate to Ojo Redondo, Jacob's Well",1863-09-15,1863-09-15,"NEW MEXICO--1st Cavalry. CALIFORNIA--1st Infantry (2 Cos.).","","","","",NA
"281",NA,"Skirmish","NM",1863,"Nov. 5: Skirmish, Gila River",1863-11-05,1863-11-05,"CALIFORNIA--5th Infantry.","","","","",NA
"282",NA,"Skirmish","NM",1863,"Dec. 11: Skirmish, Riconde Mascaras",1863-12-11,1863-12-11,"NEW MEXICO--1st Cavalry.","","","","",NA
"283",NA,"Skirmish","NM",1864,"Jan. 4: Skirmish, Fort Sumner",1864-01-04,1864-01-04,"CALIFORNIA--2d Infantry (Co. ""B""); Apaches and Citizens.","","","","",NA
"284",NA,"Action","NM",1864,"Jan. 5: Action, Pecos River, near Fort Sumner.",1864-01-05,1864-01-05,"CALIFORNIA--2d Cavalry (Detachment). UNITED STATES---5th Infantry (Co. ""D"").","","","","",NA
"285",NA,"Skirmish","NM",1864,"Jan. 26: Skirmish, San Andres Mrs",1864-01-26,1864-01-26,"CALIFORNIA--5th Infantry (Detachment).","","","","",NA
"286",NA,"Expedition","NM",1864,"Jan. 6: Expedition against Navajo Indians",1864-01-06,1864-01-06,"NEW MEXICO--1st Cavalry.","","","","",NA
"287",NA,"Expedition","NM",1864,"Feb. 24: Expedition from Camp Mimbres",1864-02-24,1864-02-24,"CALIFORNIA--5th Infantry (Detachment).","","","","",NA
"288",NA,"Skirmish","NM",1864,"April 16: Skirmish, foot of Sierra Bonito",1864-04-16,1864-04-16,"CALIFORNIA--1st Cavalry (Detachment Co. ""C""); 5th Infantry (Detachments Cos. ""F,"" ""I"").","","","","",NA
"289",NA,"Skirmish","NM",1864,"May 16: Skirmish, Spencer's Ranch, near Presidio del Norte, Mexico",1864-05-16,1864-05-16,"CALIFORNIA--1st Cavalry (Co. ""A"").","","","","",NA
"290",NA,"Skirmish","NM",1864,"May 16: Skirmish, Doubtful Canon",1864-05-16,1864-05-16,"CALIFORNIA--5th Infantry (Co. ""I""). Union loss, 1 killed, 6 wounded, 1 missing. Total, 8.","","","","",NA
"291",NA,"Expedition","NM",1864,"May 16: Expedition from Fort Craig to Fort Goodwin, Arizona",1864-05-16,1864-05-16,"CALIFORNIA--1st Cavalry (Co. ""C"").","","","","",NA
"292",NA,"Expedition","NM",1864,"May 16: Expedition from Fort Wingate to Gila and St. Francis Rivers, Arizona",1864-05-16,1864-05-16,"NEW MEXICO--1st Cavalry (Cos. ""B,"" ""F"").","","","","",NA
"293",NA,"Expedition","NM",1864,"July 16: Expedition to Southwestern Now Mexico",1864-07-16,1864-07-16,"CALIFORNIA--1st Cavalry; 5th Infantry (Cos. ""A,"" ""B,"" ""F,"" ""G,"" ""M""). <dy_989>","","","","",NA
"294",NA,"Scouts","NM",1864,"Aug. 3: Scouts from Fort Sumner",1864-08-03,1864-08-03,"COLORADO--1st Cavalry (Cos. ""A,"" ""B,"" ""G""). NEW MEXICO--1st Cavalry (Co. ""L"").","","","","",NA
"295",NA,"Scouts","NM",1864,"Aug. 4: Scouts from Fort Union",1864-08-04,1864-08-04,"CALIFORNIA--1st Infantry (Detachment).","","","","",NA
"296",NA,"Affair","NM",1864,"Aug. 12: Affair in St. Andres Mts",1864-08-12,1864-08-12,"CALIFORNIA--1st Infantry (Detachment)","","","","",NA
"297",NA,"Skirmish","NM",1864,"Aug. 25: Skirmish, Sacramento Mts",1864-08-25,1864-08-25,"NEW MEXICO--1st Cavalry (Co. ""L""). Union loss, 2 killed, 2 wounded. Total, 4.","","","","",NA
"298",NA,"Scout","NM",1864,"Sept. 18: Scout on Cimarron River",1864-09-18,1864-09-18,"CALIFORNIA--1st Infantry.","","","","",NA
"299",NA,"Expedition","NM",1864,"Oct. 1: Expedition from Fort Craig to Fort Goodwin, Arizona",1864-10-01,1864-10-01,"CALIFORNIA--1st Cavalry (Detachment). NEW MEXICO--1st Cavalry (Detachment)"," 1st Infantry (Detachment).","","","",NA
"300",NA,"Scout","NM",1864,"Oct. 13: Scout in Sacramento Mountains",1864-10-13,1864-10-13,"NEW MEXICO--1st Cavalry (Cos. ""A,"" ""L""). UNITED STATES---5th Infantry (Detachment).","","","","",NA
"301",NA,"Expedition","NM",1864,"Nov. 23: Expedition from Fort Wingate",1864-11-23,1864-11-23,"NEW MEXICO--1st Cavalry.","","","","",NA
"302",NA,"Engagement","NM",1864,"Nov. 25: Engagement, St. Vrain's Old Fort, Adobe Fort, Canadian River",1864-11-25,1864-11-25,"CALIFORNIA--1st Cavalry (Cos. ""B,"" ""K,"" ""M""), 1st Infantry (Co. ""A""). NEW MEXICO--1st Cavalry (Cos. ""D,"" ""M""). Union loss, 3 killed, 15 wounded. Total, 18.","","","","",NA
"303",NA,"Skirmish","NM",1864,"Dec. 1: Skirmish, Red River",1864-12-01,1864-12-01,"NEW MEXICO--1st Cavalry.","","","","",NA
"304",NA,"Expedition","NM",1865,"Jan. 2: Expedition from Fort Wingate to Sierra del Datil",1865-01-02,1865-01-02,"NEW MEXICO--1st Cavalry (Detachment).","","","","",NA
"305",NA,"Expedition","NM",1865,"Jan. 11: Expedition from Fort Wingate to Sierra del Datil",1865-01-11,1865-01-11,"NEW MEXICO--1st Cavalry (Detachment).","","","","",NA
"306",NA,"Scout","NM",1865,"March 16: Scout from Fort Sumner",1865-03-16,1865-03-16,"NEW MEXICO--1st Cavalry (Detachment).","","","","",NA
"307",NA,"Scout","NM",1865,"April 16: Scout from Fort Stanton",1865-04-16,1865-04-16,"NEW MEXICO--1st Cavalry (Cos. ""A,"" ""H"").","","","","",NA
"308",NA,"Scout","NM",1865,"April 16: Scout from Fort Cummings",1865-04-16,1865-04-16,"CALIFORNIA--1st Infantry (Co. ""G"").","","","","",NA
"309",NA,"Scout","NM",1865,"May 16: Scout from Fort Sumner.,",1865-05-16,1865-05-16,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"310",NA,"Scout","NM",1865,"June 16: Scout from Camp Nichols",1865-06-16,1865-06-16,"CALIFORNIA--1st Cavalry (Co. ""F"").","","","","",NA
"311",NA,"Action","NM",1865,"June 16: Action, Santa Fe Road",1865-06-16,1865-06-16,"CALIFORNIA--1st Cavalry (Co. ""F"").","","","","",NA
"312",NA,"Scout","NM",1865,"June 16: Scout from Fort Sumner-to Oscura Mountains ",1865-06-16,1865-06-16,"CALIFORNIA--1st Cavalry (Detachment).","","","","",NA
"313",NA,"Skirmish.","OR",1864,"Jan. 28: Skirmish. Oregon Mountains",1864-01-28,1864-01-28,"CALIFORNIA--1st Cavalry. Union loss, 4 wounded.","","","","",NA
"314",NA,"Expedition","OR",1864,"March 16: Expedition from Camp Lincoln, near Canon City to Harney Lake Valley",1864-03-16,1864-03-16,"OREGON--1st Cavalry (Detachment).","","","","",NA
"315",NA,"Skirmish","OR",1864,"April 16: Skirmish, Harney Lake Valley",1864-04-16,1864-04-16,"OREGON--1st Cavalry (Detachment). Union loss, 3 missing.","","","","",NA
"316",NA,"Expedition","OR",1864,"April 16: Expedition from Fort Dalles to S. E. Oregon ",1864-04-16,1864-04-16,"OREGON--1st Cavalry (Detachment).","","","","",NA
"317",NA,"Expedition","OR",1864,"April 16: Expedition from Siletz Block House to Coos Bay",1864-04-16,1864-04-16,"CALIFORNIA--4th Infantry (Detachment Co. ""D"").","","","","",NA
"318",NA,"Skirmish","OR",1864,"May 16: Skirmish, Crooked River",1864-05-16,1864-05-16,"OREGON--1st Cavalry. Union loss, 3 killed, 5 wounded. Total, 8.","","","","",NA
"319",NA,"Skirmish","OR",1864,"June 16: Skirmish, John Day's Road, near Fort Klamath ",1864-06-16,1864-06-16,"OREGON--1st Cavalry (Detachment).","","","","",NA
"320",NA,"Skirmish","OR",1864,"Sept. 23: Skirmish, Harney Lake Valley",1864-09-23,1864-09-23,"OREGON--1st Cavalry (Detachments Cos. ""F"" and ""H"").","","","","",NA
"321",NA,"Operations","OR",1865,"Jan. 1: Operations on Canyon City Road",1865-01-01,1865-01-01,"OREGON--1st Cavalry (Detachments).","","","","",NA
"322",NA,"Expedition","UT",1862,"Nov. 20: Expedition from Camp Douglass to Cache Valley ",1862-11-20,1862-11-20,"CALIFORNIA--2d Cavalry.","","","","",NA
"323",NA,"Skirmish","UT",1862,"Nov. 23: Skirmish, Cache Valley",1862-11-23,1862-11-23,"CALIFORNIA--2d Cavalry.","","","","",NA
"324",NA,"Skirmish","UT",1863,"Jan. 26: Skirmish, Bear River",1863-01-26,1863-01-26,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""H,"" ""K,"" ""M""); 3d Infantry (Co. ""K""). Union loss, 14 killed, 49 wounded. Total, 63.","","","","",NA
"325",NA,"Engagement","UT",1863,"Jan. 29: Engagement, Bear River",1863-01-29,1863-01-29,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""H,"" ""K,"" ""M""); 3d Infantry (Co. ""K"").","","","","",NA
"326",NA,"Expedition","UT",1863,"March 16: Expedition from Camp Douglass to Cedar Mountain ",1863-03-16,1863-03-16,"CALIFORNIA---2d Cavalry (Co. ""A"").","","","","",NA
"327",NA,"Skirmish","UT",1863,"April 16: Skirmish, Cedar Fort",1863-04-16,1863-04-16,"CALIFORNIA--2d Cavalry (Detachment).","","","","",NA
"328",NA,"Expedition","UT",1863,"April 16: Expedition from Camp Douglass to Spanish Fork",1863-04-16,1863-04-16,"CALIFORNIA--2d Cavalry (Co. ""M"").","","","","",NA
"329",NA,"Skirmish","UT",1863,"April 16: Skirmish, Spanish Fork Canon",1863-04-16,1863-04-16,"CALIFORNIA--2d Cavalry (Co. ""M"").","","","","",NA
"330",NA,"Expedition","UT",1863,"April 16: Expedition from Camp Douglass to Spanish Fork",1863-04-16,1863-04-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""I-I"").","","","","",NA
"331",NA,"Skirmish","UT",1863,"April 16: Skirmish, Pleasant Grove",1863-04-16,1863-04-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""ill"").","","","","",NA
"332",NA,"Skirmish","UT",1863,"April 16: Skirmish, Spanish Fork Canon",1863-04-16,1863-04-16,"CALIFORNIA--2d Cavalry (Cos. ""A,"" ""H""). Union loss, 1 killed, 4 wounded. Total, 5.","","","","",NA
"333",NA,"Expedition","UT",1863,"May 16: Expedition from Camp Douglass to Soda",1863-05-16,1863-05-16,"CALIFORNIA--2d Cavalry (Co. ""H""); 3d Infantry (Co. Springs on Bear River ""H"").","","","","",NA
"334",NA,"Skirmish","UT",1863,"June 16: Skirmish, Government Springs",1863-06-16,1863-06-16,"CALIFORNIA--2d Cavalry (Detachment).","","","","",NA
"335",NA,"Expedition","UT",1864,"May 16: Expedition from Fort Crittenden to Fort Mojave, Arizona",1864-05-16,1864-05-16,"CALIFORNIA--2d Cavalry (Detachment). ","","","","",NA
"336",NA,"Expedition","WA",1862,"Aug. 10: Expedition from Fort Walla Walla to Grande Ronde Prairie",1862-08-10,1862-08-10,"OREGON--1st Cavalry (Co. ""E"").","","","","",NA
"337",NA,"Affair","WA",1862,"Aug. 14: Affair, Grande Rondo Prairie",1862-08-14,1862-08-14,"OREGON--1st Cavalry (Co. ""E"").","","","","",NA
"338",NA,"Expedition","WA",1864,"Feb. 16: Expedition from Fort Walla Walla to Snake River",1864-02-16,1864-02-16,"OREGON--1st Cavalry (Cos. ""A,"" ""E"").","","","","",NA
"339",NA,"Expedition","WA",1864,"April 16: Expedition from Fort Walla Walla to S.E. Oregon",1864-04-16,1864-04-16,"OREGON--1st Cavalry (Detachment).","","","","",NA
"340",NA,"Skirmish","DC",1864,"July 16: Skirmish near Fort Stevens",1864-07-16,1864-07-16,"ILLINOIS---8th Cavalry. MASSACHUSETTS--2d Cavalry"," U.S. Fry's Provisional Regiment Cavalry.","","","",NA
"341",NA,"Action","DC",1864,"July 16: Action at Fort Stevens and along Northern Defences of Washington",1864-07-16,1864-07-16,"DISTRICT OF COLUMBIA--2d Infantry. ILLINOIS---8th Cavalry. MAINE----1st Heavy Arty.; 1st Battery Light Arty.; 7th Infantry. MASSACHUSETTS--2d Cavalry; 37th Infantry. MICHIGAN--7th Cavalry; 13th Battery Light Arty. NEW YORK--25th Cavalry (Dismounted); 9th Heavy Arty.; 43d, 49th, 62d, 77th, 114th, 122d and 153d Infantry. OHIO--Battery ""L,"" 1st Light Arty.; 147th, 150th and 151st Infantry. PENNSYLVANIA--2d Provisional Heavy Arty.; 23d, 61st, 82d, 93d, 98th, 102d and 139th Infantry. RHODE ISLAND--2d Infantry. VERMONT--3d and 4th Infantry. WISCONSIN--1st Heavy Arty. (Co. ""A""). UNITED STATES--Batteries ""I"" and ""L."" 2d Arty.; 6th, 7th, 9th and 12th Regiments Veteran Reserve Corps; Fry's Provisional Cavalry Regiment; Marines, Convalescents and Citizens. Union  loss, 54 killed. 319 wounded. Total, 373.","","","","",NA
"342",NA,"Skirmish","DC",1864,"July 16: Skirmish, Fort Reno",1864-07-16,1864-07-16,"MASSACHUSETTS---2d Cavalry.","","","","",NA
"343",NA,"Riot","IL",1864,"March 16: Riot, Charleston, Coles County",1864-03-16,1864-03-16,"ILLINOIS--54th Infantry. Loss, 2 killed, 8 wounded. Total, 10.","","","","",NA
"344",NA,"Affair","IL",1864,"April 16: Affair, Prairie de Rocher",1864-04-16,1864-04-16,"MISSOURI--3d State Militia Cavalry (Detachment).","","","","",NA
"345",NA,"Operations","IL",1864,"Aug. 13: Operations, Shawneetown",1864-08-13,1864-08-13,"(No Reports).","","","","",NA
"346",NA,"Raid","IN",1862,"July 16: Raid on Newburg",1862-07-16,1862-07-16,"Citizens.","","","","",NA
"347",NA,"Skirmish","IN",1863,"June 16: Skirmish, Orleans",1863-06-16,1863-06-16,"INDIANA--Home Guard. Union loss, 3 wounded, 12 missing. Total, 15.","","","","",NA
"348",NA,"Skirmish","IN",1863,"June 16: Skirmish, Blue Island near Leavenworth",1863-06-16,1863-06-16,"INDIANA--Major Clendenin's Home Guard.","","","","",NA
"349",NA,"Skirmish","IN",1863,"July 16: Skirmish, Corydon",1863-07-16,1863-07-16,"INDIANA--Home Guard. Union loss, 3 killed, 12 wounded, 345 missing. Total, 360.","","","","",NA
"350",NA,"Skirmish","IN",1863,"July 16: Skirmish, Salem",1863-07-16,1863-07-16,"INDIANA--Home Guard.","","","","",NA
"351",NA,"Skirmish","IN",1863,"July 16: Skirmish, Pekin",1863-07-16,1863-07-16,"INDIANA--Home Guard.","","","","",NA
"352",NA,"Skirmish","IN",1863,"July 16: Skirmish, Vernon",1863-07-16,1863-07-16,"INDIANA--Home Guard.","","","","",NA
"353",NA,"Expedition","IN",1864,"Aug. 16: Expedition from Mt. Vernon into Kentucky (Hovey's)",1864-08-16,1864-08-16,"INDIANA--32d and 46th Infantry (Non-Veterans). INDIANA LEGION--Detachments from Vanderburg, Warrick and Posey Counties.","","","","",NA
"354",NA,"Affairs","OH",1863,"June 16: Affairs in Holmes County",1863-06-16,1863-06-16,"OHIO--22d Indpt. Battery Light Arty. (Section)"," Governor's Guard"," Exchanged prisoners.","","",NA
"355",NA,"Skirmish","OH",1863,"July 16: Skirmish, Camp Dennison",1863-07-16,1863-07-16,"Militia, convalescents and miscellaneous Detachments. ","","","","",NA
"356",NA,"Skirmish","OH",1863,"July 16: Skirmish, Lawrenceburg",1863-07-16,1863-07-16,"INDIANA--105 Minute Men. Union loss, 8 killed, 20 missing. Total, 28.","","","","",NA
"357",NA,"Skirmish.","OH",1863,"July 16: Skirmish. Berlin",1863-07-16,1863-07-16,"OHIO--Militia.","","","","",NA
"358",NA,"Action","OH",1863,"July 16: Action, Centreville",1863-07-16,1863-07-16,"MICHIGAN--9th Cavalry.","","","","",NA
"359",NA,"Skirmish","OH",1863,"July 16: Skirmish near Hamden",1863-07-16,1863-07-16,"OHIO--Militia.","","","","",NA
"360",NA,"Skirmish","OH",1863,"July 16: Skirmish, Pomeroy",1863-07-16,1863-07-16,"OHIO--23d Infantry.","","","","",NA
"361",NA,"Engagement","OH",1863,"July 16: Engagement, Buffington Island",1863-07-16,1863-07-16,"ILLINOIS---14th Cavalry; Henshaw's Indpt. Battery Light Arty. INDIANA--5th Cavalry. KENTUCKY--1st, 3d, 8th, 11th and 12th Cavalry. MICHIGAN--8th and 9th Cavalry. OHIO--2d and 7th Cavalry; 45th Infantry. TENNESSEE--2d Mounted Infantry; Militia and Gunboats. Union loss, 25 wounded.","","","","",NA
"362",NA,"Skirmish","OH",1863,"July 16: Skirmish, Hockinport",1863-07-16,1863-07-16,"OHIO--23d Infantry.","","","","",NA
"363",NA,"Skirmish","OH",1863,"July 16: Skirmish, Coal Hill, near Cheshire",1863-07-16,1863-07-16,"OHIO--45th Infantry.","","","","",NA
"364",NA,"Skirmish","OH",1863,"July 16: Skirmish, Cheshire",1863-07-16,1863-07-16,"INDIANA--65th Infantry.","","","","",NA
"365",NA,"Skirmish","OH",1863,"July 16: Skirmish, Eaglesport",1863-07-16,1863-07-16,"OHIO--86th Infantry.","","","","",NA
"366",NA,"Skirmish","OH",1863,"July 16: Skirmish, Rockville",1863-07-16,1863-07-16,"OHIO--Militia.","","","","",NA
"367",NA,"Skirmish","OH",1863,"July 16: Skirmish, Washington",1863-07-16,1863-07-16,"OHIO--Militia.","","","","",NA
"368",NA,"Skirmish","OH",1863,"July 16: Skirmish, Athens",1863-07-16,1863-07-16,"OHIO--Militia.","","","","",NA
"369",NA,"Skirmish","OH",1863,"July 16: Skirmish, near Steubenville",1863-07-16,1863-07-16,"PENNSYLVANIA--54th Militia.","","","","",NA
"370",NA,"Skirmish","OH",1863,"July 16: Skirmish, Springfield",1863-07-16,1863-07-16,"Citizens with Morgan.","","","","",NA
"371",NA,"Action","OH",1863,"July 16: Action, Salineville",1863-07-16,1863-07-16,"MICHIGAN--9th Cavalry.","","","","",NA
"372",NA,"Action","OH",1863,"July 16: Action, New Lisbon",1863-07-16,1863-07-16,"INDIANA--15th Indpt. Battery Light Arty. KENTUCKY --1st, 9th, 11th and 12th Cavalry (Detachments). MICHIGAN--8th Cavalry; ""Morgan surrendered to Shackleford's Cavalry.""","","","","",NA
"373",NA,"Riots","NY",1863,"July 16: Riots, New York City",1863-07-16,1863-07-16,"UNITED STATES--Battery ""C,"" 5th Arty.","","","","",NA
"374",NA,"Action","FR",1864,"June 16: Action off Cherburg",1864-06-16,1864-06-16,"Kearsage and Alabama. Union loss, 3 wounded.","","","","",NA
"375",NA,"Affair","MX",1864,"Jan. 12: Affair, Matamoras",1864-01-12,1864-01-12,"WISCONSIN--20th Infantry.","","","","",NA
"376",NA,"Skirmish","MX",1864,"April 16: Skirmish, foot of Sierra Bonita, near Presidio del Norte",1864-04-16,1864-04-16,"CALIFORNIA--1st Cavalry, Company ""A.""","","","","",NA
"377",NA,"Skirmish","MX",1864,"April 16: Skirmish, foot of Sierra Bonita, near Presidio del Norte",1864-04-16,1864-04-16,"CALIFORNIA--1st Cavalry, Company ""A.""","","","","",NA
