"","battle_id","event_type","state","year","battle_name","start_date","end_date","text","casualties","killed","wounded","killed_wounded","missing_captured"
"119",NA,"Skirmish","IT",1862,"Oct. 15: Skirmish, Fort Gibson",1862-10-15,1862-10-15,"KANSAS--3d Infantry"," 1st Indian Home Guard.","","","",NA
"120",NA,"Skirmish","IT",1862,"Oct. 21: Skirmish, Fort Cobb",1862-10-21,1862-10-21,"Loyal Indians.","","","","",NA
"121",NA,"Action","IT",1862,"Oct. 22: Action, Old Fort Wayne, or Beattie's Prairie, near Maysville",1862-10-22,1862-10-22,"INDIANA--2d Battery Light Arty. KANSAS--2d and 6th Cavalry; 1st Battery Light Arty.; 10th and 11th Infantry: 1st and 3d Indian Home Guard. Union loss, 5 killed, 9 wounded. Total, 14.","","","","",NA
"122",NA,"Skirmish","IT",1862,"July 16: Skirmish, Bayou Bernard",1862-07-16,1862-07-16,"KANSAS--1st Indian Home Guard.","","","","",NA
"123",NA,"Skirmish","IT",1862,"July 16: Skirmish, Bayou Bernard",1862-07-16,1862-07-16,"KANSAS--1st Battery Light Arty.; 1st, 2d and 3d Indian Home Guard.","","","","",NA
"124",NA,"Expedition","IT",1862,"Dec.   : Expedition toward Fort Gibson",NA,NA,"INDIANA--2d Battery Light Arty. KANSAS--1st, 2d and 3d Indian Home Guard.","","","","",NA
"125",NA,"Skirmish","IT",1862,"Dec. 2: Skirmish, Saline",1862-12-02,1862-12-02,"KANSAS--3d Indian Home Guard.","","","","",NA
"126",NA,"Operations","IT",1862,"Dec. 4: Operations in Cherokee Country",1862-12-04,1862-12-04,"Stand Wattle and Confederate Indians.","","","","",NA
"127",NA,"Skirmish.","IT",1863,"Jan. 18: Skirmish. Cherokee Country",1863-01-18,1863-01-18,"KANSAS--3d Indian Home Guard.","","","","",NA
"128",NA,"Action","IT",1863,"Feb. 28: Action, Fort Gibson",1863-02-28,1863-02-28,"KANSAS--3d Indian Home Guard.","","","","",NA
"129",NA,"Action","IT",1863,"March 16: Action, Greenleaf Prairie",1863-03-16,1863-03-16,"KANSAS--3d Indian Home Guard.","","","","",NA
"130",NA,"Action","IT",1863,"March 16: Action, Fort Gibson",1863-03-16,1863-03-16,"KANSAS--3d Indian Home Guard.","","","","",NA
"131",NA,"Skirmish","IT",1863,"March 16: Skirmish, Tahlequah",1863-03-16,1863-03-16,"KANSAS--3d Indian Home Guard. Union loss, 2 killed.","","","","",NA
"132",NA,"Skirmish","IT",1863,"April 16: Skirmish, Webber Falls",1863-04-16,1863-04-16,"KANSAS--6th Cavalry.","","","","",NA
"133",NA,"Skirmish","IT",1863,"April 16: Skirmish, Webber Falls",1863-04-16,1863-04-16,"KANSAS--6th Cavalry.","","","","",NA
"134",NA,"Skirmish","IT",1863,"April 16: Skirmish, Fort Gibson",1863-04-16,1863-04-16,"KANSAS--1st Indian Home Guard.","","","","",NA
"135",NA,"Skirmish.","IT",1863,"May 16: Skirmish. Martin's House, Cabin Creek.",1863-05-16,1863-05-16,"(No Reports.)","","","","",NA
"136",NA,"Scout","IT",1863,"May 16: Scout from Creek Agency to Jasper County, Mo",1863-05-16,1863-05-16,"KANSAS--2d Battery Light Arty. (Detachment): 1st Colored Infantry (Detachment). Union loss, 3 killed, 5 wounded. Total, 8.","","","","",NA
"137",NA,"Skirmish","IT",1863,"May 16: Skirmish, Fort Gibson",1863-05-16,1863-05-16,"(No Reports.)","","","","",NA
"138",NA,"Action","IT",1863,"May 16: Action near Fort Gibson",1863-05-16,1863-05-16,"KANSAS--1st, 2d and 3d Indian Home Guard; 6th Cavalry. WISCONSIN--3d Cavalry.","","","","",NA
"139",NA,"Action","IT",1863,"May 16: Action, Fort Blunt",1863-05-16,1863-05-16,"KANSAS--1st and 3d Indian Home Guard.","","","","",NA
"140",NA,"Skirmish","IT",1863,"May 16: Skirmish, Fort Blunt",1863-05-16,1863-05-16,"KANSAS--2d Indian Home Guard.","","","","",NA
"141",NA,"Skirmish","IT",1863,"May 16: Skirmish, Fort Gibson",1863-05-16,1863-05-16,"KANSAS--6th Cavalry: 2d Battery Light Arty.; 1st, 2d and 3d Indian Home Guard.","","","","",NA
"142",NA,"Action","IT",1863,"May 16: Action, Fort Gibson",1863-05-16,1863-05-16,"KANSAS----6th Cavalry; 1st Indian Home Guard. WISCONSIN--2d Cavalry. Union loss, 25 killed, 12 wounded. Total, 37.","","","","",NA
